аа->0.000000 аб->0.000354 ав->0.003274 аг->0.000950 ад->0.001774 ае->0.001333 аё->0.000001 аж->0.001825 аз->0.003129 аи->0.000278 ай->0.000774 ак->0.005353 ал->0.007675 ам->0.003175 ан->0.003238 ао->0.000010 ап->0.000690 ар->0.001815 ас->0.005002 ат->0.003666 ау->0.000044 аф->0.000140 ах->0.000739 ац->0.000036 ач->0.000833 аш->0.000935 ащ->0.000183 аы->0.000000 аь->0.000000 аэ->0.000000 аю->0.000918 ая->0.001829 а ->0.016091 
ба->0.000528 бб->0.000003 бв->0.000046 бг->0.000003 бд->0.000019 бе->0.002310 бё->0.000000 бж->0.000003 бз->0.000000 би->0.000618 бй->0.000000 бк->0.000085 бл->0.000642 бм->0.000051 бн->0.000226 бо->0.001768 бп->0.000000 бр->0.000912 бс->0.000177 бт->0.000002 бу->0.001187 бф->0.000000 бх->0.000033 бц->0.000001 бч->0.000013 бш->0.000006 бщ->0.000188 бы->0.003998 бь->0.000217 бэ->0.000000 бю->0.000002 бя->0.000509 б ->0.000356 
ва->0.005851 вб->0.000004 вв->0.000040 вг->0.000192 вд->0.000746 ве->0.005348 вё->0.000000 вж->0.000000 вз->0.000433 ви->0.003096 вй->0.000000 вк->0.000120 вл->0.000896 вм->0.000095 вн->0.001673 во->0.006062 вп->0.000424 вр->0.000538 вс->0.003694 вт->0.000175 ву->0.000449 вф->0.000000 вх->0.000044 вц->0.000015 вч->0.000103 вш->0.000656 вщ->0.000015 вы->0.003017 вь->0.000129 вэ->0.000000 вю->0.000000 вя->0.000156 в ->0.005170 
га->0.001076 гб->0.000000 гв->0.000001 гг->0.000000 гд->0.001095 ге->0.000775 гё->0.000000 гж->0.000000 гз->0.000001 ги->0.000495 гй->0.000000 гк->0.000042 гл->0.001630 гм->0.000019 гн->0.000214 го->0.008315 гп->0.000000 гр->0.000494 гс->0.000015 гт->0.000000 гу->0.000394 гф->0.000000 гх->0.000000 гц->0.000000 гч->0.000025 гш->0.000006 гщ->0.000000 гы->0.000000 гь->0.000000 гэ->0.000000 гю->0.000000 гя->0.000000 г ->0.000999 
да->0.005296 дб->0.000009 дв->0.000663 дг->0.000005 дд->0.000021 де->0.004323 дё->0.000000 дж->0.000015 дз->0.000005 ди->0.002182 дй->0.000000 дк->0.000236 дл->0.000572 дм->0.000043 дн->0.001866 до->0.003814 дп->0.000070 др->0.001535 дс->0.000258 дт->0.000213 ду->0.001500 дф->0.000001 дх->0.000073 дц->0.000312 дч->0.000061 дш->0.000074 дщ->0.000000 ды->0.000479 дь->0.000848 дэ->0.000000 дю->0.000012 дя->0.000243 д ->0.000790 
еа->0.000022 еб->0.001436 ев->0.002031 ег->0.003170 ед->0.002887 ее->0.001582 её->0.000000 еж->0.000727 ез->0.001306 еи->0.000117 ей->0.002179 ек->0.001262 ел->0.005226 ем->0.004257 ен->0.007484 ео->0.000268 еп->0.001281 ер->0.005889 ес->0.004203 ет->0.005422 еу->0.000116 еф->0.000006 ех->0.000557 ец->0.000384 еч->0.001206 еш->0.000900 ещ->0.000817 еы->0.000000 еь->0.000000 еэ->0.000000 ею->0.000255 ея->0.000302 е ->0.018942 
ёа->0.000000 ёб->0.000000 ёв->0.000000 ёг->0.000000 ёд->0.000000 ёе->0.000000 ёё->0.000000 ёж->0.000010 ёз->0.000000 ёи->0.000000 ёй->0.000000 ёк->0.000000 ёл->0.000000 ём->0.000001 ён->0.000000 ёо->0.000000 ёп->0.000000 ёр->0.000004 ёс->0.000000 ёт->0.000001 ёу->0.000000 ёф->0.000001 ёх->0.000000 ёц->0.000000 ёч->0.000000 ёш->0.000002 ёщ->0.000000 ёы->0.000000 ёь->0.000000 ёэ->0.000000 ёю->0.000000 ёя->0.000000 ё ->0.000658 
жа->0.001288 жб->0.000040 жв->0.000000 жг->0.000003 жд->0.000807 же->0.004790 жё->0.000006 жж->0.000007 жз->0.000000 жи->0.001314 жй->0.000000 жк->0.000042 жл->0.000023 жм->0.000004 жн->0.000701 жо->0.000032 жп->0.000000 жр->0.000004 жс->0.000007 жт->0.000019 жу->0.000207 жф->0.000000 жх->0.000000 жц->0.000000 жч->0.000006 жш->0.000000 жщ->0.000000 жы->0.000000 жь->0.000021 жэ->0.000000 жю->0.000001 жя->0.000000 ж ->0.000471 
за->0.004777 зб->0.000106 зв->0.000955 зг->0.000379 зд->0.000631 зе->0.000241 зё->0.000000 зж->0.000049 зз->0.000004 зи->0.000353 зй->0.000000 зк->0.000091 зл->0.000222 зм->0.000243 зн->0.001838 зо->0.000410 зп->0.000000 зр->0.000201 зс->0.000017 зт->0.000005 зу->0.000261 зф->0.000000 зх->0.000000 зц->0.000002 зч->0.000017 зш->0.000003 зщ->0.000000 зы->0.000310 зь->0.001342 зэ->0.000000 зю->0.000162 зя->0.000519 з ->0.001277 
иа->0.000063 иб->0.000591 ив->0.002222 иг->0.000364 ид->0.001512 ие->0.001703 иё->0.000000 иж->0.000209 из->0.001885 ии->0.000538 ий->0.001029 ик->0.001366 ил->0.005296 им->0.002407 ин->0.003137 ио->0.000299 ип->0.000719 ир->0.000398 ис->0.002044 ит->0.004180 иу->0.000007 иф->0.000033 их->0.001283 иц->0.000728 ич->0.001567 иш->0.000567 ищ->0.000146 иы->0.000000 иь->0.000000 иэ->0.000000 ию->0.000258 ия->0.001138 и ->0.017320 
йа->0.000000 йб->0.000000 йв->0.000000 йг->0.000000 йд->0.000232 йе->0.000004 йё->0.000000 йж->0.000000 йз->0.000003 йи->0.000000 йй->0.000000 йк->0.000055 йл->0.000014 йм->0.000036 йн->0.000467 йо->0.000001 йп->0.000000 йр->0.000001 йс->0.000491 йт->0.000355 йу->0.000000 йф->0.000000 йх->0.000000 йц->0.000059 йч->0.000179 йш->0.000219 йщ->0.000000 йы->0.000000 йь->0.000000 йэ->0.000000 йю->0.000000 йя->0.000000 й ->0.006052 
