аа->0.000560 аб->0.001016 ав->0.005896 аг->0.001638 ад->0.003027 ае->0.002197 аж->0.002382 аз->0.004204 аи->0.001629 ай->0.000932 ак->0.007561 ал->0.009553 ам->0.004570 ан->0.005926 ао->0.001166 ап->0.002537 ар->0.002579 ас->0.007653 ат->0.005517 ау->0.000537 аф->0.000221 ах->0.001053 ац->0.000075 ач->0.001645 аш->0.001185 ащ->0.000231 аы->0.000000 аь->0.000000 аэ->0.000346 аю->0.001106 ая->0.002606 
ба->0.000640 бб->0.000013 бв->0.000061 бг->0.000005 бд->0.000025 бе->0.002814 бж->0.000004 бз->0.000021 би->0.000785 бй->0.000000 бк->0.000106 бл->0.000774 бм->0.000061 бн->0.000285 бо->0.002214 бп->0.000008 бр->0.001097 бс->0.000216 бт->0.000012 бу->0.001464 бф->0.000000 бх->0.000041 бц->0.000002 бч->0.000020 бш->0.000007 бщ->0.000226 бы->0.004814 бь->0.000260 бэ->0.000112 бю->0.000002 бя->0.000642 
ва->0.007106 вб->0.000179 вв->0.000416 вг->0.000493 вд->0.001236 ве->0.006571 вж->0.000050 вз->0.000613 ви->0.003981 вй->0.000000 вк->0.000565 вл->0.001200 вм->0.000282 вн->0.002504 во->0.007604 вп->0.001182 вр->0.000822 вс->0.005181 вт->0.000704 ву->0.000676 вф->0.000012 вх->0.000068 вц->0.000049 вч->0.000345 вш->0.000857 вщ->0.000019 вы->0.003635 вь->0.000155 вэ->0.000403 вю->0.000002 вя->0.000222 
га->0.001310 гб->0.000045 гв->0.000119 гг->0.000024 гд->0.001379 ге->0.000957 гж->0.000006 гз->0.000070 ги->0.000655 гй->0.000000 гк->0.000129 гл->0.001981 гм->0.000056 гн->0.000350 го->0.010143 гп->0.000140 гр->0.000628 гс->0.000130 гт->0.000041 гу->0.000520 гф->0.000000 гх->0.000004 гц->0.000002 гч->0.000056 гш->0.000009 гщ->0.000000 гы->0.000000 гь->0.000000 гэ->0.000006 гю->0.000000 гя->0.000019 
да->0.006381 дб->0.000033 дв->0.000895 дг->0.000026 дд->0.000054 де->0.005237 дж->0.000019 дз->0.000056 ди->0.002677 дй->0.000000 дк->0.000378 дл->0.000714 дм->0.000073 дн->0.002390 до->0.004626 дп->0.000143 др->0.001874 дс->0.000418 дт->0.000298 ду->0.001823 дф->0.000004 дх->0.000090 дц->0.000379 дч->0.000112 дш->0.000093 дщ->0.000000 ды->0.000577 дь->0.001022 дэ->0.000018 дю->0.000015 дя->0.000304 
еа->0.000278 еб->0.002696 ев->0.004885 ег->0.004304 ед->0.004511 ее->0.002331 еж->0.001168 ез->0.002429 еи->0.001670 ей->0.002623 ек->0.002575 ел->0.006711 ем->0.006213 ен->0.010954 ео->0.001708 еп->0.003938 ер->0.007678 ес->0.007388 ет->0.007830 еу->0.000884 еф->0.000099 ех->0.001004 ец->0.000495 еч->0.002190 еш->0.001140 ещ->0.000991 еы->0.000000 еь->0.000000 еэ->0.000504 ею->0.000316 ея->0.000672 
жа->0.001555 жб->0.000060 жв->0.000044 жг->0.000007 жд->0.000992 же->0.005785 жж->0.000009 жз->0.000014 жи->0.001645 жй->0.000000 жк->0.000086 жл->0.000034 жм->0.000018 жн->0.000918 жо->0.000084 жп->0.000051 жр->0.000012 жс->0.000060 жт->0.000071 жу->0.000253 жф->0.000000 жх->0.000006 жц->0.000001 жч->0.000021 жш->0.000000 жщ->0.000000 жы->0.000000 жь->0.000025 жэ->0.000022 жю->0.000001 жя->0.000016 
за->0.005769 зб->0.000167 зв->0.001298 зг->0.000495 зд->0.000844 зе->0.000312 зж->0.000067 зз->0.000070 зи->0.000461 зй->0.000000 зк->0.000209 зл->0.000286 зм->0.000368 зн->0.002366 зо->0.000584 зп->0.000183 зр->0.000282 зс->0.000179 зт->0.000096 зу->0.000363 зф->0.000005 зх->0.000004 зц->0.000019 зч->0.000052 зш->0.000019 зщ->0.000000 зы->0.000374 зь->0.001615 зэ->0.000037 зю->0.000198 зя->0.000634 
иа->0.000290 иб->0.001602 ив->0.005023 иг->0.000885 ид->0.002982 ие->0.002477 иж->0.000440 из->0.002856 ии->0.001734 ий->0.001237 ик->0.002750 ил->0.006707 им->0.003527 ин->0.005998 ио->0.001665 ип->0.002880 ир->0.000929 ис->0.004518 ит->0.006066 иу->0.000588 иф->0.000168 их->0.001730 иц->0.000925 ич->0.002615 иш->0.000764 ищ->0.000185 иы->0.000000 иь->0.000000 иэ->0.000253 ию->0.000314 ия->0.001711 
йа->0.000140 йб->0.000233 йв->0.000594 йг->0.000215 йд->0.000659 йе->0.000104 йж->0.000157 йз->0.000132 йи->0.000707 йй->0.000000 йк->0.000518 йл->0.000123 йм->0.000408 йн->0.001067 йо->0.000336 йп->0.000696 йр->0.000270 йс->0.001366 йт->0.000757 йу->0.000144 йф->0.000073 йх->0.000046 йц->0.000087 йч->0.000528 йш->0.000310 йщ->0.000005 йы->0.000000 йь->0.000000 йэ->0.000070 йю->0.000005 йя->0.000079 
ка->0.007496 кб->0.000516 кв->0.000697 кг->0.000094 кд->0.000228 ке->0.000655 кж->0.000119 кз->0.000080 ки->0.002621 кй->0.000000 кк->0.000349 кл->0.000639 км->0.000155 кн->0.003350 ко->0.009559 кп->0.000359 кр->0.001861 кс->0.000871 кт->0.000897 ку->0.001357 кф->0.000012 кх->0.000051 кц->0.000025 кч->0.000240 кш->0.000019 кщ->0.000001 кы->0.000000 кь->0.000025 кэ->0.000111 кю->0.000000 кя->0.000111 
ла->0.006919 лб->0.000335 лв->0.000803 лг->0.000476 лд->0.000314 ле->0.004896 лж->0.000395 лз->0.000173 ли->0.008434 лй->0.000000 лк->0.001039 лл->0.000292 лм->0.000194 лн->0.000972 ло->0.006812 лп->0.000638 лр->0.000185 лс->0.002410 лт->0.000371 лу->0.001728 лф->0.000040 лх->0.000035 лц->0.000007 лч->0.000718 лш->0.000022 лщ->0.000005 лы->0.000778 ль->0.004367 лэ->0.000093 лю->0.001104 ля->0.001864 
ма->0.002805 мб->0.000338 мв->0.000898 мг->0.000294 мд->0.000505 ме->0.005155 мж->0.000165 мз->0.000210 ми->0.003343 мй->0.000000 мк->0.000466 мл->0.000280 мм->0.000272 мн->0.002979 мо->0.005054 мп->0.000978 мр->0.000314 мс->0.001168 мт->0.000513 му->0.003011 мф->0.000025 мх->0.000095 мц->0.000012 мч->0.000522 мш->0.000044 мщ->0.000017 мы->0.001011 мь->0.000085 мэ->0.000095 мю->0.000001 мя->0.000598 
на->0.011974 нб->0.000279 нв->0.000445 нг->0.000131 нд->0.000499 не->0.013435 нж->0.000032 нз->0.000135 ни->0.008614 нй->0.000000 нк->0.000551 нл->0.000043 нм->0.000129 нн->0.003426 но->0.012735 нп->0.000419 нр->0.000196 нс->0.000729 нт->0.000645 ну->0.002878 нф->0.000144 нх->0.000043 нц->0.000195 нч->0.000481 нш->0.000036 нщ->0.000124 ны->0.002986 нь->0.001326 нэ->0.000039 ню->0.000189 ня->0.004183 
оа->0.000269 об->0.005350 ов->0.011765 ог->0.006251 од->0.006292 ое->0.003193 ож->0.003472 оз->0.001827 ои->0.002525 ой->0.003276 ок->0.003475 ол->0.006526 ом->0.007381 он->0.009262 оо->0.002358 оп->0.003957 ор->0.006269 ос->0.009422 от->0.009207 оу->0.001064 оф->0.000458 ох->0.000616 оц->0.000188 оч->0.004184 ош->0.001106 ощ->0.000233 оы->0.000000 оь->0.000000 оэ->0.000480 ою->0.000704 оя->0.001469 
па->0.001568 пб->0.000003 пв->0.000003 пг->0.000000 пд->0.000001 пе->0.002518 пж->0.000000 пз->0.000003 пи->0.000953 пй->0.000000 пк->0.000076 пл->0.000519 пм->0.000001 пн->0.000136 по->0.010604 пп->0.000644 пр->0.008270 пс->0.000034 пт->0.000181 пу->0.000648 пф->0.000001 пх->0.000001 пц->0.000015 пч->0.000019 пш->0.000003 пщ->0.000001 пы->0.000227 пь->0.000069 пэ->0.000000 пю->0.000004 пя->0.000584 
ра->0.007946 рб->0.000175 рв->0.000524 рг->0.000185 рд->0.000884 ре->0.006088 рж->0.000290 рз->0.000060 ри->0.005351 рй->0.000000 рк->0.000262 рл->0.000071 рм->0.000263 рн->0.000751 ро->0.008186 рп->0.000213 рр->0.000089 рс->0.000165 рт->0.000515 ру->0.002757 рф->0.000081 рх->0.000077 рц->0.000018 рч->0.000090 рш->0.000353 рщ->0.000014 ры->0.001095 рь->0.001075 рэ->0.000004 рю->0.000222 ря->0.001193 
са->0.002297 сб->0.000187 св->0.001804 сг->0.000159 сд->0.000391 се->0.005374 сж->0.000269 сз->0.000090 си->0.001729 сй->0.000000 ск->0.004196 сл->0.003555 см->0.001561 сн->0.001676 со->0.003152 сп->0.002367 ср->0.000247 сс->0.001170 ст->0.011974 су->0.000850 сф->0.000015 сх->0.000245 сц->0.000056 сч->0.000621 сш->0.000155 сщ->0.000000 сы->0.000239 сь->0.003928 сэ->0.000063 сю->0.000276 ся->0.004535 
та->0.007121 тб->0.000567 тв->0.003290 тг->0.000127 тд->0.000393 те->0.006762 тж->0.000086 тз->0.000163 ти->0.004939 тй->0.000000 тк->0.000769 тл->0.000389 тм->0.000251 тн->0.001707 то->0.017742 тп->0.000598 тр->0.003009 тс->0.001888 тт->0.000462 ту->0.001829 тф->0.000013 тх->0.000050 тц->0.000066 тч->0.000659 тш->0.000029 тщ->0.000025 ты->0.001377 ть->0.007806 тэ->0.000171 тю->0.000049 тя->0.000690 
