аа->0.000000 аб->0.000188 ав->0.001578 аг->0.000490 ад->0.000888 ае->0.000656 аж->0.000892 аз->0.001509 аи->0.000135 ай->0.000378 ак->0.002707 ал->0.003846 ам->0.001604 ан->0.001580 ао->0.000004 ап->0.000332 ар->0.000917 ас->0.002483 ат->0.001854 ау->0.000022 аф->0.000054 ах->0.000369 ац->0.000021 ач->0.000418 аш->0.000475 ащ->0.000098 аы->0.000000 аь->0.000000 аэ->0.000000 аю->0.000466 ая->0.000901 а ->0.007999 
ба->0.000268 бб->0.000001 бв->0.000022 бг->0.000000 бд->0.000015 бе->0.001157 бж->0.000002 бз->0.000000 би->0.000313 бй->0.000000 бк->0.000039 бл->0.000323 бм->0.000027 бн->0.000112 бо->0.000837 бп->0.000000 бр->0.000473 бс->0.000082 бт->0.000001 бу->0.000593 бф->0.000000 бх->0.000013 бц->0.000000 бч->0.000006 бш->0.000002 бщ->0.000095 бы->0.001979 бь->0.000120 бэ->0.000000 бю->0.000001 бя->0.000264 б ->0.000188 
ва->0.002896 вб->0.000002 вв->0.000016 вг->0.000113 вд->0.000412 ве->0.002682 вж->0.000000 вз->0.000215 ви->0.001572 вй->0.000000 вк->0.000059 вл->0.000423 вм->0.000039 вн->0.000844 во->0.003041 вп->0.000202 вр->0.000262 вс->0.001893 вт->0.000095 ву->0.000229 вф->0.000000 вх->0.000027 вц->0.000008 вч->0.000049 вш->0.000324 вщ->0.000006 вы->0.001474 вь->0.000068 вэ->0.000000 вю->0.000000 вя->0.000078 в ->0.002534 
га->0.000552 гб->0.000000 гв->0.000000 гг->0.000000 гд->0.000542 ге->0.000376 гж->0.000000 гз->0.000000 ги->0.000251 гй->0.000000 гк->0.000023 гл->0.000811 гм->0.000006 гн->0.000108 го->0.004092 гп->0.000000 гр->0.000234 гс->0.000006 гт->0.000000 гу->0.000197 гф->0.000000 гх->0.000000 гц->0.000000 гч->0.000014 гш->0.000004 гщ->0.000000 гы->0.000000 гь->0.000000 гэ->0.000000 гю->0.000000 гя->0.000000 г ->0.000522 
да->0.002648 дб->0.000003 дв->0.000344 дг->0.000002 дд->0.000015 де->0.002175 дж->0.000008 дз->0.000003 ди->0.001103 дй->0.000000 дк->0.000121 дл->0.000279 дм->0.000028 дн->0.000904 до->0.001902 дп->0.000040 др->0.000768 дс->0.000133 дт->0.000112 ду->0.000762 дф->0.000000 дх->0.000033 дц->0.000148 дч->0.000036 дш->0.000029 дщ->0.000000 ды->0.000241 дь->0.000416 дэ->0.000000 дю->0.000004 дя->0.000127 д ->0.000399 
еа->0.000008 еб->0.000707 ев->0.001000 ег->0.001555 ед->0.001436 ее->0.000799 еж->0.000384 ез->0.000618 еи->0.000059 ей->0.001119 ек->0.000621 ел->0.002628 ем->0.002194 ен->0.003739 ео->0.000139 еп->0.000643 ер->0.002936 ес->0.002071 ет->0.002667 еу->0.000062 еф->0.000002 ех->0.000274 ец->0.000177 еч->0.000622 еш->0.000470 ещ->0.000401 еы->0.000000 еь->0.000000 еэ->0.000000 ею->0.000126 ея->0.000144 е ->0.009456 
жа->0.000621 жб->0.000022 жв->0.000000 жг->0.000002 жд->0.000395 же->0.002397 жж->0.000006 жз->0.000000 жи->0.000652 жй->0.000000 жк->0.000018 жл->0.000009 жм->0.000002 жн->0.000306 жо->0.000013 жп->0.000000 жр->0.000003 жс->0.000003 жт->0.000008 жу->0.000098 жф->0.000000 жх->0.000000 жц->0.000000 жч->0.000003 жш->0.000000 жщ->0.000000 жы->0.000000 жь->0.000010 жэ->0.000000 жю->0.000001 жя->0.000000 ж ->0.000234 
за->0.002462 зб->0.000052 зв->0.000493 зг->0.000196 зд->0.000311 зе->0.000118 зж->0.000028 зз->0.000002 зи->0.000178 зй->0.000000 зк->0.000046 зл->0.000121 зм->0.000130 зн->0.000892 зо->0.000205 зп->0.000000 зр->0.000108 зс->0.000006 зт->0.000002 зу->0.000122 зф->0.000000 зх->0.000000 зц->0.000000 зч->0.000009 зш->0.000002 зщ->0.000000 зы->0.000160 зь->0.000675 зэ->0.000000 зю->0.000082 зя->0.000268 з ->0.000654 
иа->0.000032 иб->0.000298 ив->0.001143 иг->0.000183 ид->0.000770 ие->0.000871 иж->0.000119 из->0.000936 ии->0.000261 ий->0.000500 ик->0.000680 ил->0.002634 им->0.001178 ин->0.001586 ио->0.000151 ип->0.000365 ир->0.000191 ис->0.001011 ит->0.002133 иу->0.000006 иф->0.000015 их->0.000622 иц->0.000346 ич->0.000770 иш->0.000305 ищ->0.000087 иы->0.000000 иь->0.000000 иэ->0.000000 ию->0.000129 ия->0.000593 и ->0.008674 
йа->0.000000 йб->0.000000 йв->0.000000 йг->0.000000 йд->0.000111 йе->0.000002 йж->0.000000 йз->0.000001 йи->0.000000 йй->0.000000 йк->0.000025 йл->0.000007 йм->0.000018 йн->0.000217 йо->0.000001 йп->0.000000 йр->0.000000 йс->0.000249 йт->0.000190 йу->0.000000 йф->0.000000 йх->0.000000 йц->0.000031 йч->0.000080 йш->0.000116 йщ->0.000000 йы->0.000000 йь->0.000000 йэ->0.000000 йю->0.000000 йя->0.000000 й ->0.002951 
ка->0.003099 кб->0.000000 кв->0.000085 кг->0.000001 кд->0.000015 ке->0.000246 кж->0.000003 кз->0.000003 ки->0.000935 кй->0.000000 кк->0.000002 кл->0.000205 км->0.000001 кн->0.001109 ко->0.003846 кп->0.000000 кр->0.000711 кс->0.000154 кт->0.000191 ку->0.000511 кф->0.000000 кх->0.000002 кц->0.000004 кч->0.000000 кш->0.000002 кщ->0.000000 кы->0.000000 кь->0.000011 кэ->0.000000 кю->0.000000 кя->0.000000 к ->0.002352 
