аа->0.000267 аб->0.000503 ав->0.002966 аг->0.000815 ад->0.001466 ае->0.001099 аё->0.000000 аж->0.001142 аз->0.002090 аи->0.000801 ай->0.000460 ак->0.003717 ал->0.004722 ам->0.002337 ан->0.002956 ао->0.000566 ап->0.001269 ар->0.001303 ас->0.003752 ат->0.002812 ау->0.000254 аф->0.000100 ах->0.000515 ац->0.000040 ач->0.000821 аш->0.000560 ащ->0.000122 аы->0.000000 аь->0.000000 аэ->0.000174 аю->0.000536 ая->0.001291 
ба->0.000319 бб->0.000009 бв->0.000032 бг->0.000002 бд->0.000014 бе->0.001407 бё->0.000000 бж->0.000001 бз->0.000013 би->0.000382 бй->0.000000 бк->0.000054 бл->0.000388 бм->0.000027 бн->0.000134 бо->0.001103 бп->0.000004 бр->0.000546 бс->0.000116 бт->0.000004 бу->0.000750 бф->0.000000 бх->0.000015 бц->0.000001 бч->0.000010 бш->0.000005 бщ->0.000124 бы->0.002409 бь->0.000132 бэ->0.000056 бю->0.000001 бя->0.000329 
ва->0.003567 вб->0.000087 вв->0.000196 вг->0.000258 вд->0.000623 ве->0.003378 вё->0.000000 вж->0.000028 вз->0.000285 ви->0.001955 вй->0.000000 вк->0.000272 вл->0.000600 вм->0.000137 вн->0.001285 во->0.003744 вп->0.000585 вр->0.000435 вс->0.002601 вт->0.000343 ву->0.000360 вф->0.000006 вх->0.000032 вц->0.000024 вч->0.000164 вш->0.000431 вщ->0.000013 вы->0.001842 вь->0.000089 вэ->0.000213 вю->0.000002 вя->0.000118 
га->0.000659 гб->0.000025 гв->0.000049 гг->0.000013 гд->0.000645 ге->0.000473 гё->0.000000 гж->0.000004 гз->0.000031 ги->0.000343 гй->0.000000 гк->0.000075 гл->0.000998 гм->0.000032 гн->0.000173 го->0.005101 гп->0.000066 гр->0.000313 гс->0.000071 гт->0.000020 гу->0.000275 гф->0.000000 гх->0.000001 гц->0.000001 гч->0.000031 гш->0.000005 гщ->0.000000 гы->0.000000 гь->0.000000 гэ->0.000004 гю->0.000000 гя->0.000013 
да->0.003270 дб->0.000017 дв->0.000440 дг->0.000016 дд->0.000030 де->0.002665 дё->0.000000 дж->0.000010 дз->0.000031 ди->0.001324 дй->0.000000 дк->0.000178 дл->0.000342 дм->0.000042 дн->0.001195 до->0.002211 дп->0.000062 др->0.000931 дс->0.000203 дт->0.000147 ду->0.000919 дф->0.000002 дх->0.000046 дц->0.000186 дч->0.000051 дш->0.000049 дщ->0.000000 ды->0.000322 дь->0.000506 дэ->0.000006 дю->0.000008 дя->0.000142 
еа->0.000160 еб->0.001328 ев->0.002392 ег->0.002112 ед->0.002267 ее->0.001139 её->0.000000 еж->0.000606 ез->0.001179 еи->0.000838 ей->0.001326 ек->0.001260 ел->0.003377 ем->0.003169 ен->0.005570 ео->0.000843 еп->0.001936 ер->0.003766 ес->0.003602 ет->0.003866 еу->0.000431 еф->0.000054 ех->0.000530 ец->0.000245 еч->0.001062 еш->0.000555 ещ->0.000502 еы->0.000000 еь->0.000000 еэ->0.000182 ею->0.000171 ея->0.000371 
ёа->0.000001 ёб->0.000014 ёв->0.000028 ёг->0.000008 ёд->0.000013 ёе->0.000033 ёё->0.000000 ёж->0.000011 ёз->0.000019 ёи->0.000007 ёй->0.000000 ёк->0.000011 ёл->0.000003 ём->0.000007 ён->0.000014 ёо->0.000016 ёп->0.000041 ёр->0.000032 ёс->0.000017 ёт->0.000021 ёу->0.000008 ёф->0.000001 ёх->0.000004 ёц->0.000001 ёч->0.000021 ёш->0.000001 ёщ->0.000000 ёы->0.000000 ёь->0.000000 ёэ->0.000082 ёю->0.000000 ёя->0.000003 
жа->0.000790 жб->0.000033 жв->0.000024 жг->0.000003 жд->0.000471 же->0.002908 жё->0.000001 жж->0.000005 жз->0.000006 жи->0.000793 жй->0.000000 жк->0.000043 жл->0.000020 жм->0.000011 жн->0.000443 жо->0.000040 жп->0.000023 жр->0.000006 жс->0.000027 жт->0.000036 жу->0.000124 жф->0.000000 жх->0.000002 жц->0.000001 жч->0.000009 жш->0.000000 жщ->0.000000 жы->0.000000 жь->0.000016 жэ->0.000007 жю->0.000000 жя->0.000008 
за->0.002915 зб->0.000089 зв->0.000637 зг->0.000250 зд->0.000432 зе->0.000159 зё->0.000000 зж->0.000030 зз->0.000035 зи->0.000228 зй->0.000000 зк->0.000090 зл->0.000138 зм->0.000193 зн->0.001161 зо->0.000295 зп->0.000080 зр->0.000145 зс->0.000080 зт->0.000055 зу->0.000151 зф->0.000002 зх->0.000002 зц->0.000006 зч->0.000028 зш->0.000010 зщ->0.000000 зы->0.000181 зь->0.000778 зэ->0.000013 зю->0.000099 зя->0.000310 
иа->0.000132 иб->0.000780 ив->0.002477 иг->0.000427 ид->0.001494 ие->0.001293 иё->0.000000 иж->0.000242 из->0.001450 ии->0.000897 ий->0.000660 ик->0.001438 ил->0.003371 им->0.001830 ин->0.003056 ио->0.000835 ип->0.001447 ир->0.000495 ис->0.002292 ит->0.003075 иу->0.000298 иф->0.000094 их->0.000834 иц->0.000436 ич->0.001309 иш->0.000395 ищ->0.000097 иы->0.000000 иь->0.000000 иэ->0.000141 ию->0.000165 ия->0.000828 
йа->0.000065 йб->0.000117 йв->0.000279 йг->0.000095 йд->0.000319 йе->0.000056 йё->0.000000 йж->0.000082 йз->0.000067 йи->0.000346 йй->0.000000 йк->0.000241 йл->0.000064 йм->0.000193 йн->0.000539 йо->0.000172 йп->0.000327 йр->0.000138 йс->0.000677 йт->0.000381 йу->0.000076 йф->0.000033 йх->0.000020 йц->0.000043 йч->0.000261 йш->0.000158 йщ->0.000003 йы->0.000000 йь->0.000000 йэ->0.000038 йю->0.000003 йя->0.000039 
