àà->0.000000 àá->0.000375 àâ->0.003156 àã->0.000980 àä->0.001777 àå->0.001311 àæ->0.001785 àç->0.003019 àè->0.000270 àé->0.000757 àê->0.005413 àë->0.007693 àì->0.003208 àí->0.003161 àî->0.000008 àï->0.000665 àð->0.001833 àñ->0.004965 àò->0.003707 àó->0.000044 àô->0.000108 àõ->0.000737 àö->0.000042 à÷->0.000836 àø->0.000949 àù->0.000196 àû->0.000000 àü->0.000000 àý->0.000000 àþ->0.000933 àÿ->0.001801 à ->0.015999 
áà->0.000535 áá->0.000002 áâ->0.000044 áã->0.000000 áä->0.000031 áå->0.002314 áæ->0.000003 áç->0.000000 áè->0.000626 áé->0.000000 áê->0.000078 áë->0.000645 áì->0.000053 áí->0.000223 áî->0.001673 áï->0.000000 áð->0.000946 áñ->0.000165 áò->0.000002 áó->0.001187 áô->0.000000 áõ->0.000026 áö->0.000000 á÷->0.000011 áø->0.000003 áù->0.000189 áû->0.003958 áü->0.000241 áý->0.000000 áþ->0.000002 áÿ->0.000527 á ->0.000375 
âà->0.005792 âá->0.000005 ââ->0.000032 âã->0.000226 âä->0.000825 âå->0.005363 âæ->0.000000 âç->0.000430 âè->0.003143 âé->0.000000 âê->0.000118 âë->0.000846 âì->0.000078 âí->0.001688 âî->0.006083 âï->0.000404 âð->0.000524 âñ->0.003785 âò->0.000191 âó->0.000458 âô->0.000000 âõ->0.000055 âö->0.000016 â÷->0.000099 âø->0.000648 âù->0.000013 âû->0.002947 âü->0.000136 âý->0.000000 âþ->0.000000 âÿ->0.000155 â ->0.005069 
ãà->0.001104 ãá->0.000000 ãâ->0.000000 ãã->0.000000 ãä->0.001085 ãå->0.000752 ãæ->0.000000 ãç->0.000000 ãè->0.000501 ãé->0.000000 ãê->0.000045 ãë->0.001622 ãì->0.000011 ãí->0.000215 ãî->0.008184 ãï->0.000000 ãð->0.000469 ãñ->0.000011 ãò->0.000000 ãó->0.000395 ãô->0.000000 ãõ->0.000000 ãö->0.000000 ã÷->0.000027 ãø->0.000008 ãù->0.000000 ãû->0.000000 ãü->0.000000 ãý->0.000000 ãþ->0.000000 ãÿ->0.000000 ã ->0.001044 
äà->0.005297 äá->0.000006 äâ->0.000687 äã->0.000005 ää->0.000031 äå->0.004349 äæ->0.000016 äç->0.000006 äè->0.002207 äé->0.000000 äê->0.000243 äë->0.000558 äì->0.000057 äí->0.001808 äî->0.003804 äï->0.000079 äð->0.001536 äñ->0.000267 äò->0.000225 äó->0.001525 äô->0.000000 äõ->0.000066 äö->0.000296 ä÷->0.000073 äø->0.000058 äù->0.000000 äû->0.000482 äü->0.000833 äý->0.000000 äþ->0.000008 äÿ->0.000254 ä ->0.000797 
åà->0.000016 åá->0.001413 åâ->0.002000 åã->0.003109 åä->0.002872 åå->0.001597 åæ->0.000768 åç->0.001235 åè->0.000118 åé->0.002238 åê->0.001242 åë->0.005256 åì->0.004388 åí->0.007478 åî->0.000278 åï->0.001285 åð->0.005872 åñ->0.004142 åò->0.005334 åó->0.000124 åô->0.000003 åõ->0.000548 åö->0.000354 å÷->0.001245 åø->0.000939 åù->0.000802 åû->0.000000 åü->0.000000 åý->0.000000 åþ->0.000252 åÿ->0.000288 å ->0.018912 
æà->0.001242 æá->0.000044 æâ->0.000000 æã->0.000003 æä->0.000791 æå->0.004794 ææ->0.000013 æç->0.000000 æè->0.001305 æé->0.000000 æê->0.000036 æë->0.000018 æì->0.000005 æí->0.000613 æî->0.000026 æï->0.000000 æð->0.000006 æñ->0.000006 æò->0.000016 æó->0.000196 æô->0.000000 æõ->0.000000 æö->0.000000 æ÷->0.000006 æø->0.000000 æù->0.000000 æû->0.000000 æü->0.000019 æý->0.000000 æþ->0.000002 æÿ->0.000000 æ ->0.000469 
çà->0.004923 çá->0.000103 çâ->0.000986 çã->0.000391 çä->0.000622 çå->0.000236 çæ->0.000057 çç->0.000005 çè->0.000356 çé->0.000000 çê->0.000092 çë->0.000243 çì->0.000260 çí->0.001785 çî->0.000409 çï->0.000000 çð->0.000215 çñ->0.000013 çò->0.000003 çó->0.000244 çô->0.000000 çõ->0.000000 çö->0.000000 ç÷->0.000018 çø->0.000003 çù->0.000000 çû->0.000320 çü->0.001350 çý->0.000000 çþ->0.000165 çÿ->0.000537 ç ->0.001308 
èà->0.000065 èá->0.000597 èâ->0.002286 èã->0.000365 èä->0.001539 èå->0.001741 èæ->0.000238 èç->0.001872 èè->0.000522 èé->0.001001 èê->0.001360 èë->0.005268 èì->0.002356 èí->0.003172 èî->0.000302 èï->0.000729 èð->0.000382 èñ->0.002021 èò->0.004265 èó->0.000011 èô->0.000031 èõ->0.001243 èö->0.000692 è÷->0.001541 èø->0.000610 èù->0.000173 èû->0.000000 èü->0.000000 èý->0.000000 èþ->0.000259 èÿ->0.001187 è ->0.017347 
éà->0.000000 éá->0.000000 éâ->0.000000 éã->0.000000 éä->0.000222 éå->0.000005 éæ->0.000000 éç->0.000002 éè->0.000000 éé->0.000000 éê->0.000050 éë->0.000015 éì->0.000036 éí->0.000433 éî->0.000002 éï->0.000000 éð->0.000000 éñ->0.000498 éò->0.000380 éó->0.000000 éô->0.000000 éõ->0.000000 éö->0.000061 é÷->0.000160 éø->0.000233 éù->0.000000 éû->0.000000 éü->0.000000 éý->0.000000 éþ->0.000000 éÿ->0.000000 é ->0.005901 
êà->0.006199 êá->0.000000 êâ->0.000170 êã->0.000002 êä->0.000031 êå->0.000492 êæ->0.000006 êç->0.000006 êè->0.001871 êé->0.000000 êê->0.000005 êë->0.000411 êì->0.000002 êí->0.002218 êî->0.007691 êï->0.000000 êð->0.001423 êñ->0.000307 êò->0.000382 êó->0.001022 êô->0.000000 êõ->0.000005 êö->0.000008 ê÷->0.000000 êø->0.000003 êù->0.000000 êû->0.000000 êü->0.000021 êý->0.000000 êþ->0.000000 êÿ->0.000000 ê ->0.004703 
