symbol, frequency
" ",0.15315921440139063
"о",0.09110542803368996
"а",0.06993103189540359
"е",0.06685091509357277
"и",0.061983755291410564
"н",0.05642628916581733
"т",0.051970561936859484
"с",0.04757486134472172
"л",0.04336924510251424
"р",0.03864965078253475
"в",0.03724527759193142
"к",0.028332572579081967
"м",0.027264598665657884
"д",0.02684941442765227
"п",0.026050309824984838
"у",0.024632180530110237
"ы",0.017300176953523125
"г",0.016477311807114408
"я",0.014996654765552214
"б",0.014397638952285076
"ь",0.0140749957793771
"з",0.013951190840935665
"ч",0.011003632862082549
"й",0.009277867053504993
"ж",0.008142363173658311
"х",0.007740935039923966
"ш",0.005841342095554903
"ю",0.004629554364749358
"ц",0.0032226800642785234
"э",0.003161402872524683
"щ",0.003108879565307105
"ф",0.0012780671422943932
