symbol, frequency
"то",0.014411426360549994
"ст",0.013919674646433471
"на",0.013091228064993923
"но",0.011794657479425433
"ен",0.01110797715791137
"ов",0.010678248182512246
"по",0.010439017618887991
"ко",0.010130380657175218
"ал",0.010040300012847567
"не",0.009719849196141004
"ни",0.00953525771186303
"ро",0.009443700335661154
"ос",0.00940678203880556
"ли",0.009217760358904915
"ра",0.009132109910199934
"ор",0.008915030324689037
"ан",0.008542893892384641
"го",0.008435092465566304
"от",0.008198815365690497
"пр",0.007996503098921838
"во",0.00785326010712213
"ас",0.0078074814190211925
"ес",0.0076996799922028555
"ол",0.007631750325988561
"он",0.007628796862240114
"ат",0.007588925101636071
"ре",0.007497367725434196
"ер",0.007463402892327049
"ка",0.007280288139923299
"ть",0.006849082432649951
"та",0.006779676034561433
"ом",0.0067663854476934186
"ит",0.006754571592699628
"ил",0.006735374078334719
"ла",0.006720606759592481
"те",0.006657107289000858
"ин",0.006544875666559849
"ти",0.006497620246584688
"ло",0.006457748485980646
"да",0.006425260384747723
"од",0.006403109406634366
"ва",0.006367667841652994
"ет",0.006186029821123468
"ог",0.005890683446278709
"ел",0.005836044366932429
"ак",0.0057873122150830444
"ле",0.005737103331359435
"ве",0.005723812744491421
"ис",0.005629301904541098
"об",0.0054860589127413905
"ем",0.0054255129058982145
"за",0.005400408464036411
"ед",0.0053561065078096964
"ны",0.005329525334073668
"ам",0.0051478873135441415
"мо",0.005112445748562771
"де",0.005110969016688547
"ск",0.004880598844309635
"ри",0.004879122112435411
"ав",0.004851064206825159
"ив",0.004529136658244373
"ме",0.004521752998873254
"ми",0.004341591710217951
"ль",0.0042839991671232225
"до",0.004278092239626328
"ой",0.004195395254669795
"ся",0.004185058131550229
"ик",0.004180627935927558
"им",0.004179151204053334
"аз",0.004025571089134059
"нн",0.003993082987901136
"же",0.003953211227297093
"се",0.0039015256116992606
"ки",0.0039000488798250368
"тв",0.003879374633585904
"оп",0.003863130582969442
"ег",0.003839502872981861
"ви",0.0037819103298871335
"ру",0.003762712815522224
"ид",0.003649004461206992
"ок",0.003643097533710097
"си",0.0036253767512194114
"со",0.0036239000193451876
"па",0.003619469823722516
"бы",0.003604702504980278
"ма",0.003477703563797032
"из",0.003451122390061004
"ну",0.0034156808250796326
"ди",0.003399436774463171
"тр",0.0033639952094818002
"ус",0.003334460571997324
"ев",0.003300495738890177
"вс",0.0032812982245252675
"че",0.0032606239782861346
"чт",0.003257670514537687
"ие",0.0032399497320470014
"сл",0.0032384730001727776
"га",0.0032369962682985537
"ар",0.003216322022059421
"ап",0.0032118918264367495
"сп",0.00319269431207184
"еп",0.0030878463490019506
"вы",0.0030745557621339368
"ад",0.002987428581554733
"пл",0.002963800871567152
"ои",0.002737860894810912
"бо",0.0026492569823574844
"ип",0.0025975713667596516
"лс",0.002559176338029833
"ое",0.002551792678658714
"ьн",0.002467618961827958
"сь",0.0024484214474630485
"их",0.0024395610562177057
"му",0.0024055962231105585
"св",0.002401166027487887
"ии",0.00237901504937453
"мн",0.002377538317500306
"оз",0.002376061585626083
"са",0.002368677926254964
"аб",0.0023553873393869496
"вн",0.0023420967525189353
"ия",0.0023288061656509215
"ей",0.002325852701902474
"ек",0.00232437597002825
"ьс",0.0022992715281664453
"оч",0.0022771205500530887
"ож",0.002235772057574822
"пе",0.0022342953257005987
"тн",0.0021456914132471708
"чи",0.002123540435133814
"лп",0.002095482529523562
"ля",0.002089575602026667
"еб",0.002088098870152443
"кр",0.002080715210781324
"дн",0.002058564232667967
"ку",0.002037889986428834
"хо",0.0020290295951834914
"ры",0.00202459939956082
