 	 366268	 0.16207366212277965
à	 151089	 0.06685691225132595
á	 34940	 0.015460956880125812
â	 77582	 0.03433005027687237
ã	 35768	 0.015827347043169435
ä	 59477	 0.026318584211769976
å	 149450	 0.06613165442858622
æ	 18084	 0.008002173560967234
ç	 31574	 0.013971501217318041
è	 133692	 0.059158736325637666
é	 20844	 0.009223474104445977
ê	 68503	 0.03031259098910299
ë	 107360	 0.04750682114053541
ì	 58658	 0.025956176550498564
í	 119586	 0.0529168285479887
î	 213328	 0.09439768200696849
ï	 53240	 0.023558710483626163
ð	 86558	 0.03830193204435976
ñ	 96233	 0.042583121449489045
ò	 115078	 0.05092203766030676
ó	 57106	 0.02526941624489023
ô	 2841	 0.0012571430594286615
õ	 15821	 0.007000795615354049
ö	 6572	 0.002908111294109526
÷	 29917	 0.013238278391033883
ø	 15765	 0.006976015604326944
ù	 6245	 0.0027634137297191095
û	 33682	 0.014904291632409776
ü	 37195	 0.016458794824163698
ý	 9714	 0.004298446912808876
þ	 10692	 0.004731212105389387
ÿ	 37024	 0.016383127290491645
