àà->0.000296 àá->0.001570 àâ->0.005281 àã->0.001534 àä->0.003132 àå->0.001782 àæ->0.001234 àç->0.005073 àè->0.001806 àé->0.001127 àê->0.006639 àë->0.010898 àì->0.004414 àí->0.007834 àî->0.002061 àï->0.002637 àð->0.003495 àñ->0.006599 àò->0.006991 àó->0.000635 àô->0.001083 àõ->0.000000 àö->0.000100 à÷->0.001498 àø->0.002369 àù->0.000256 àû->0.000000 àü->0.000000 àý->0.000415 àþ->0.000939 àÿ->0.003408 
áà->0.001374 áá->0.000004 áâ->0.000140 áã->0.000000 áä->0.000028 áå->0.002689 áæ->0.000008 áç->0.000004 áè->0.000827 áé->0.000000 áê->0.000380 áë->0.000991 áì->0.000040 áí->0.000395 áî->0.002736 áï->0.000004 áð->0.001502 áñ->0.000068 áò->0.000012 áó->0.001470 áô->0.000000 áõ->0.000000 áö->0.000008 á÷->0.000028 áø->0.000008 áù->0.000300 áû->0.004958 áü->0.000012 áý->0.000064 áþ->0.000004 áÿ->0.000583 
âà->0.005988 âá->0.000240 ââ->0.000340 âã->0.000403 âä->0.000719 âå->0.005337 âæ->0.000100 âç->0.000595 âè->0.003296 âé->0.000000 âê->0.000783 âë->0.001190 âì->0.000591 âí->0.001730 âî->0.009052 âï->0.000999 âð->0.000931 âñ->0.004842 âò->0.000599 âó->0.000999 âô->0.000020 âõ->0.000000 âö->0.000032 â÷->0.000216 âø->0.001178 âù->0.000008 âû->0.002780 âü->0.000212 âý->0.000304 âþ->0.000000 âÿ->0.000260 
ãà->0.000979 ãá->0.000032 ãâ->0.000068 ãã->0.000008 ãä->0.001338 ãå->0.000368 ãæ->0.000016 ãç->0.000040 ãè->0.000903 ãé->0.000000 ãê->0.000124 ãë->0.001630 ãì->0.000008 ãí->0.000403 ãî->0.010490 ãï->0.000100 ãð->0.001670 ãñ->0.000200 ãò->0.000028 ãó->0.000559 ãô->0.000000 ãõ->0.000000 ãö->0.000000 ã÷->0.000040 ãø->0.000012 ãù->0.000000 ãû->0.000000 ãü->0.000000 ãý->0.000004 ãþ->0.000000 ãÿ->0.000004 
äà->0.004970 äá->0.000084 äâ->0.000883 äã->0.000044 ää->0.000096 äå->0.005053 äæ->0.000024 äç->0.000064 äè->0.002529 äé->0.000000 äê->0.000304 äë->0.001047 äì->0.000116 äí->0.001965 äî->0.004506 äï->0.000136 äð->0.002369 äñ->0.000603 äò->0.000312 äó->0.002109 äô->0.000000 äõ->0.000000 äö->0.000100 ä÷->0.000056 äø->0.000132 äù->0.000000 äû->0.000775 äü->0.000475 äý->0.000020 äþ->0.000360 äÿ->0.000835 
åà->0.000811 åá->0.002597 åâ->0.003595 åã->0.004326 åä->0.004211 åå->0.002796 åæ->0.001590 åç->0.002205 åè->0.001606 åé->0.003384 åê->0.002005 åë->0.007634 åì->0.005972 åí->0.009532 åî->0.001985 åï->0.002840 åð->0.007814 åñ->0.006296 åò->0.005345 åó->0.000663 åô->0.000048 åõ->0.000000 åö->0.000252 å÷->0.001814 åø->0.000955 åù->0.000723 åû->0.000000 åü->0.000000 åý->0.000228 åþ->0.000579 åÿ->0.000787 
æà->0.001370 æá->0.000088 æâ->0.000024 æã->0.000012 æä->0.000919 æå->0.004442 ææ->0.000028 æç->0.000020 æè->0.001570 æé->0.000000 æê->0.000148 æë->0.000028 æì->0.000020 æí->0.001394 æî->0.000072 æï->0.000012 æð->0.000000 æñ->0.000052 æò->0.000028 æó->0.000136 æô->0.000000 æõ->0.000000 æö->0.000000 æ÷->0.000088 æø->0.000000 æù->0.000000 æû->0.000000 æü->0.000068 æý->0.000012 æþ->0.000144 æÿ->0.000016 
çà->0.006152 çá->0.000140 çâ->0.000899 çã->0.000643 çä->0.001047 çå->0.000387 çæ->0.000244 çç->0.000152 çè->0.000459 çé->0.000000 çê->0.000268 çë->0.000268 çì->0.000296 çí->0.002029 çî->0.000399 çï->0.000248 çð->0.000344 çñ->0.000260 çò->0.000104 çó->0.000380 çô->0.000000 çõ->0.000000 çö->0.000016 ç÷->0.000060 çø->0.000024 çù->0.000000 çû->0.000543 çü->0.000739 çý->0.000020 çþ->0.000124 çÿ->0.000679 
èà->0.000288 èá->0.001586 èâ->0.005385 èã->0.001159 èä->0.002720 èå->0.003340 èæ->0.000527 èç->0.002661 èè->0.002229 èé->0.001342 èê->0.003719 èë->0.005876 èì->0.003895 èí->0.006284 èî->0.002121 èï->0.002457 èð->0.001059 èñ->0.005665 èò->0.004718 èó->0.000659 èô->0.000148 èõ->0.000000 èö->0.000943 è÷->0.001977 èø->0.000523 èù->0.000164 èû->0.000000 èü->0.000000 èý->0.000256 èþ->0.000391 èÿ->0.001786 
éà->0.000180 éá->0.000391 éâ->0.000799 éã->0.000340 éä->0.000735 éå->0.000128 éæ->0.000176 éç->0.000180 éè->0.000719 éé->0.000000 éê->0.000747 éë->0.000252 éì->0.000380 éí->0.001079 éî->0.000771 éï->0.000719 éð->0.000387 éñ->0.001478 éò->0.000595 éó->0.000256 éô->0.000040 éõ->0.000000 éö->0.000104 é÷->0.000360 éø->0.000144 éù->0.000000 éû->0.000000 éü->0.000000 éý->0.000064 éþ->0.000012 éÿ->0.000076 
êà->0.008397 êá->0.000391 êâ->0.000595 êã->0.000132 êä->0.000244 êå->0.000691 êæ->0.000280 êç->0.000136 êè->0.003188 êé->0.000000 êê->0.000352 êë->0.000455 êì->0.000248 êí->0.002569 êî->0.010654 êï->0.000384 êð->0.001658 êñ->0.000691 êò->0.000691 êó->0.001602 êô->0.000016 êõ->0.000000 êö->0.000024 ê÷->0.000184 êø->0.000012 êù->0.000000 êû->0.000000 êü->0.000000 êý->0.000124 êþ->0.000004 êÿ->0.000084 
ëà->0.010395 ëá->0.000296 ëâ->0.000803 ëã->0.000423 ëä->0.000256 ëå->0.004786 ëæ->0.000459 ëç->0.000144 ëè->0.007075 ëé->0.000000 ëê->0.001294 ëë->0.000116 ëì->0.000180 ëí->0.001095 ëî->0.007442 ëï->0.000691 ëð->0.000148 ëñ->0.002137 ëò->0.000403 ëó->0.001590 ëô->0.000024 ëõ->0.000000 ëö->0.000012 ë÷->0.000663 ëø->0.000052 ëù->0.000012 ëû->0.001234 ëü->0.003855 ëý->0.000108 ëþ->0.001570 ëÿ->0.002085 
ìà->0.003495 ìá->0.000463 ìâ->0.000779 ìã->0.000348 ìä->0.000399 ìå->0.003819 ìæ->0.000108 ìç->0.000192 ìè->0.004458 ìé->0.000000 ìê->0.000679 ìë->0.000300 ìì->0.000284 ìí->0.002285 ìî->0.004622 ìï->0.000887 ìð->0.000272 ìñ->0.001278 ìò->0.000240 ìó->0.003032 ìô->0.000024 ìõ->0.000000 ìö->0.000028 ì÷->0.000543 ìø->0.000032 ìù->0.000008 ìû->0.000923 ìü->0.000048 ìý->0.000072 ìþ->0.000000 ìÿ->0.000627 
íà->0.013331 íá->0.000308 íâ->0.000423 íã->0.000144 íä->0.001346 íå->0.011082 íæ->0.000032 íç->0.000176 íè->0.009891 íé->0.000000 íê->0.000411 íë->0.000076 íì->0.000116 íí->0.003503 íî->0.010299 íï->0.000435 íð->0.000240 íñ->0.001454 íò->0.000419 íó->0.002689 íô->0.000036 íõ->0.000000 íö->0.000399 í÷->0.000487 íø->0.000008 íù->0.000104 íû->0.003543 íü->0.001406 íý->0.000016 íþ->0.000224 íÿ->0.003559 
îà->0.000152 îá->0.005685 îâ->0.010095 îã->0.005876 îä->0.006084 îå->0.003651 îæ->0.002229 îç->0.001726 îè->0.002217 îé->0.003875 îê->0.002641 îë->0.007718 îì->0.006863 îí->0.010670 îî->0.003040 îï->0.003384 îð->0.007283 îñ->0.010187 îò->0.009580 îó->0.000735 îô->0.000104 îõ->0.000000 îö->0.000140 î÷->0.003008 îø->0.001302 îù->0.000128 îû->0.000000 îü->0.000000 îý->0.000368 îþ->0.001087 îÿ->0.001039 
ïà->0.000923 ïá->0.000000 ïâ->0.000000 ïã->0.000000 ïä->0.000004 ïå->0.003220 ïæ->0.000000 ïç->0.000000 ïè->0.000843 ïé->0.000000 ïê->0.000084 ïë->0.000567 ïì->0.000004 ïí->0.000076 ïî->0.009336 ïï->0.000020 ïð->0.006831 ïñ->0.000012 ïò->0.000028 ïó->0.000727 ïô->0.000004 ïõ->0.000000 ïö->0.000008 ï÷->0.000064 ïø->0.000008 ïù->0.000000 ïû->0.000260 ïü->0.000555 ïý->0.000000 ïþ->0.000000 ïÿ->0.000336 
ðà->0.009668 ðá->0.000384 ðâ->0.000491 ðã->0.000603 ðä->0.000399 ðå->0.006935 ðæ->0.000403 ðç->0.000156 ðè->0.005793 ðé->0.000000 ðê->0.000344 ðë->0.000076 ðì->0.000076 ðí->0.000799 ðî->0.007059 ðï->0.000156 ðð->0.000036 ðñ->0.000284 ðò->0.000475 ðó->0.002705 ðô->0.000040 ðõ->0.000000 ðö->0.000048 ð÷->0.000088 ðø->0.000304 ðù->0.000028 ðû->0.001918 ðü->0.001159 ðý->0.000012 ðþ->0.000108 ðÿ->0.001075 
ñà->0.001862 ñá->0.000260 ñâ->0.002800 ñã->0.000148 ñä->0.000551 ñå->0.003987 ñæ->0.000156 ñç->0.000072 ñè->0.001626 ñé->0.000000 ñê->0.005509 ñë->0.002681 ñì->0.001210 ñí->0.001618 ñî->0.003875 ñï->0.002377 ñð->0.000324 ññ->0.001194 ñò->0.013239 ñó->0.001039 ñô->0.000032 ñõ->0.000000 ñö->0.000012 ñ÷->0.000527 ñø->0.000132 ñù->0.000000 ñû->0.000467 ñü->0.003511 ñý->0.000068 ñþ->0.000104 ñÿ->0.003324 
òà->0.007414 òá->0.000224 òâ->0.003487 òã->0.000092 òä->0.000395 òå->0.005353 òæ->0.000084 òç->0.000164 òè->0.003771 òé->0.000000 òê->0.000655 òë->0.000495 òì->0.000212 òí->0.001758 òî->0.016702 òï->0.000443 òð->0.002928 òñ->0.001334 òò->0.000387 òó->0.001254 òô->0.000004 òõ->0.000000 òö->0.000180 ò÷->0.000415 òø->0.000004 òù->0.000032 òû->0.001434 òü->0.006883 òý->0.000124 òþ->0.000072 òÿ->0.000731 
óà->0.000248 óá->0.000795 óâ->0.001722 óã->0.001510 óä->0.002237 óå->0.000411 óæ->0.001818 óç->0.000611 óè->0.000691 óé->0.000076 óê->0.001202 óë->0.001486 óì->0.001578 óí->0.001143 óî->0.000707 óï->0.001182 óð->0.000899 óñ->0.001918 óò->0.001646 óó->0.000096 óô->0.000064 óõ->0.000000 óö->0.000024 ó÷->0.001178 óø->0.001059 óù->0.000280 óû->0.000000 óü->0.000000 óý->0.000052 óþ->0.001087 óÿ->0.000088 
ôà->0.000220 ôá->0.000016 ôâ->0.000032 ôã->0.000004 ôä->0.000008 ôå->0.000176 ôæ->0.000004 ôç->0.000012 ôè->0.000695 ôé->0.000000 ôê->0.000016 ôë->0.000048 ôì->0.000004 ôí->0.000008 ôî->0.000108 ôï->0.000020 ôð->0.000232 ôñ->0.000040 ôò->0.000056 ôó->0.000088 ôô->0.000004 ôõ->0.000000 ôö->0.000000 ô÷->0.000000 ôø->0.000000 ôù->0.000000 ôû->0.000004 ôü->0.000004 ôý->0.000000 ôþ->0.000004 ôÿ->0.000004 
õà->0.000000 õá->0.000000 õâ->0.000000 õã->0.000000 õä->0.000000 õå->0.000000 õæ->0.000000 õç->0.000000 õè->0.000000 õé->0.000000 õê->0.000000 õë->0.000000 õì->0.000000 õí->0.000000 õî->0.000000 õï->0.000000 õð->0.000000 õñ->0.000000 õò->0.000000 õó->0.000000 õô->0.000000 õõ->0.000000 õö->0.000000 õ÷->0.000000 õø->0.000000 õù->0.000000 õû->0.000000 õü->0.000000 õý->0.000000 õþ->0.000000 õÿ->0.000000 
öà->0.000711 öá->0.000008 öâ->0.000028 öã->0.000004 öä->0.000012 öå->0.000683 öæ->0.000000 öç->0.000008 öè->0.000148 öé->0.000000 öê->0.000128 öë->0.000004 öì->0.000000 öí->0.000040 öî->0.000399 öï->0.000044 öð->0.000004 öñ->0.000040 öò->0.000012 öó->0.000300 öô->0.000000 öõ->0.000000 öö->0.000000 ö÷->0.000004 öø->0.000000 öù->0.000000 öû->0.000100 öü->0.000000 öý->0.000004 öþ->0.000000 öÿ->0.000000 
÷à->0.002449 ÷á->0.000020 ÷â->0.000048 ÷ã->0.000004 ÷ä->0.000008 ÷å->0.003711 ÷æ->0.000004 ÷ç->0.000000 ÷è->0.001822 ÷é->0.000000 ÷ê->0.000344 ÷ë->0.000064 ÷ì->0.000004 ÷í->0.000655 ÷î->0.000040 ÷ï->0.000024 ÷ð->0.000032 ÷ñ->0.000032 ÷ò->0.004450 ÷ó->0.000963 ÷ô->0.000000 ÷õ->0.000000 ÷ö->0.000000 ÷÷->0.000000 ÷ø->0.000108 ÷ù->0.000000 ÷û->0.000000 ÷ü->0.000280 ÷ý->0.000004 ÷þ->0.000000 ÷ÿ->0.000004 
