àà->0.000256 àá->0.001646 àâ->0.005345 àã->0.001558 àä->0.003100 àå->0.001766 àæ->0.001198 àç->0.005409 àè->0.001894 àé->0.001071 àê->0.006607 àë->0.010938 àì->0.004346 àí->0.007726 àî->0.002157 àï->0.002437 àð->0.003332 àñ->0.006472 àò->0.007287 àó->0.000695 àô->0.000983 àõ->0.000000 àö->0.000088 à÷->0.001430 àø->0.002437 àù->0.000248 àû->0.000000 àü->0.000000 àý->0.000487 àþ->0.000967 àÿ->0.003220 
áà->0.001478 áá->0.000000 áâ->0.000112 áã->0.000000 áä->0.000024 áå->0.002589 áæ->0.000008 áç->0.000008 áè->0.000839 áé->0.000000 áê->0.000415 áë->0.001007 áì->0.000040 áí->0.000391 áî->0.002693 áï->0.000000 áð->0.001526 áñ->0.000080 áò->0.000008 áó->0.001382 áô->0.000000 áõ->0.000000 áö->0.000000 á÷->0.000016 áø->0.000008 áù->0.000328 áû->0.005017 áü->0.000016 áý->0.000056 áþ->0.000000 áÿ->0.000535 
âà->0.006200 âá->0.000192 ââ->0.000304 âã->0.000399 âä->0.000815 âå->0.005177 âæ->0.000120 âç->0.000615 âè->0.003260 âé->0.000000 âê->0.000751 âë->0.001182 âì->0.000591 âí->0.001702 âî->0.009172 âï->0.000943 âð->0.000879 âñ->0.004754 âò->0.000591 âó->0.001047 âô->0.000016 âõ->0.000000 âö->0.000032 â÷->0.000240 âø->0.001055 âù->0.000016 âû->0.002820 âü->0.000224 âý->0.000288 âþ->0.000000 âÿ->0.000216 
ãà->0.001119 ãá->0.000032 ãâ->0.000064 ãã->0.000016 ãä->0.001334 ãå->0.000447 ãæ->0.000016 ãç->0.000064 ãè->0.000951 ãé->0.000000 ãê->0.000136 ãë->0.001742 ãì->0.000000 ãí->0.000415 ãî->0.010762 ãï->0.000088 ãð->0.001510 ãñ->0.000184 ãò->0.000008 ãó->0.000607 ãô->0.000000 ãõ->0.000000 ãö->0.000000 ã÷->0.000040 ãø->0.000016 ãù->0.000000 ãû->0.000000 ãü->0.000000 ãý->0.000008 ãþ->0.000000 ãÿ->0.000000 
äà->0.005073 äá->0.000056 äâ->0.000847 äã->0.000040 ää->0.000096 äå->0.004802 äæ->0.000024 äç->0.000048 äè->0.002533 äé->0.000000 äê->0.000304 äë->0.001174 äì->0.000152 äí->0.001846 äî->0.004602 äï->0.000088 äð->0.002453 äñ->0.000615 äò->0.000328 äó->0.001973 äô->0.000000 äõ->0.000000 äö->0.000096 ä÷->0.000040 äø->0.000128 äù->0.000000 äû->0.000799 äü->0.000511 äý->0.000008 äþ->0.000320 äÿ->0.000799 
åà->0.000775 åá->0.002637 åâ->0.003539 åã->0.004211 åä->0.004322 åå->0.002708 åæ->0.001702 åç->0.002317 åè->0.001750 åé->0.003284 åê->0.002045 åë->0.008022 åì->0.005769 åí->0.009292 åî->0.001918 åï->0.002716 åð->0.007582 åñ->0.006120 åò->0.005417 åó->0.000663 åô->0.000040 åõ->0.000000 åö->0.000248 å÷->0.001782 åø->0.000999 åù->0.000599 åû->0.000000 åü->0.000000 åý->0.000240 åþ->0.000607 åÿ->0.000719 
æà->0.001222 æá->0.000120 æâ->0.000032 æã->0.000016 æä->0.000991 æå->0.004506 ææ->0.000024 æç->0.000024 æè->0.001470 æé->0.000000 æê->0.000168 æë->0.000032 æì->0.000008 æí->0.001286 æî->0.000048 æï->0.000000 æð->0.000000 æñ->0.000056 æò->0.000032 æó->0.000168 æô->0.000000 æõ->0.000000 æö->0.000000 æ÷->0.000080 æø->0.000000 æù->0.000000 æû->0.000000 æü->0.000088 æý->0.000000 æþ->0.000144 æÿ->0.000024 
çà->0.006144 çá->0.000160 çâ->0.000887 çã->0.000575 çä->0.001031 çå->0.000376 çæ->0.000280 çç->0.000160 çè->0.000423 çé->0.000000 çê->0.000264 çë->0.000240 çì->0.000248 çí->0.001941 çî->0.000431 çï->0.000280 çð->0.000360 çñ->0.000256 çò->0.000072 çó->0.000360 çô->0.000000 çõ->0.000000 çö->0.000016 ç÷->0.000064 çø->0.000032 çù->0.000000 çû->0.000487 çü->0.000695 çý->0.000024 çþ->0.000136 çÿ->0.000599 
èà->0.000312 èá->0.001550 èâ->0.005273 èã->0.001190 èä->0.002740 èå->0.003444 èæ->0.000543 èç->0.002685 èè->0.002149 èé->0.001326 èê->0.003723 èë->0.006088 èì->0.003907 èí->0.006104 èî->0.002141 èï->0.002373 èð->0.001031 èñ->0.005417 èò->0.004722 èó->0.000607 èô->0.000120 èõ->0.000000 èö->0.000999 è÷->0.001973 èø->0.000511 èù->0.000160 èû->0.000000 èü->0.000000 èý->0.000280 èþ->0.000328 èÿ->0.001734 
éà->0.000120 éá->0.000352 éâ->0.000751 éã->0.000352 éä->0.000751 éå->0.000160 éæ->0.000192 éç->0.000168 éè->0.000623 éé->0.000000 éê->0.000775 éë->0.000320 éì->0.000376 éí->0.001071 éî->0.000775 éï->0.000775 éð->0.000423 éñ->0.001478 éò->0.000623 éó->0.000208 éô->0.000040 éõ->0.000000 éö->0.000080 é÷->0.000399 éø->0.000128 éù->0.000000 éû->0.000000 éü->0.000000 éý->0.000072 éþ->0.000024 éÿ->0.000072 
êà->0.008109 êá->0.000312 êâ->0.000607 êã->0.000144 êä->0.000240 êå->0.000719 êæ->0.000280 êç->0.000168 êè->0.003483 êé->0.000000 êê->0.000407 êë->0.000463 êì->0.000232 êí->0.002541 êî->0.010698 êï->0.000415 êð->0.001614 êñ->0.000671 êò->0.000703 êó->0.001406 êô->0.000008 êõ->0.000000 êö->0.000016 ê÷->0.000176 êø->0.000008 êù->0.000000 êû->0.000000 êü->0.000000 êý->0.000128 êþ->0.000000 êÿ->0.000144 
