Біграма;Частота
('ж', 'ю');3.979109674210395e-06
('ю', 'л');0.00013131061924894305
('л', 'ь');0.004496393931857747
('ь', 'в');0.00135886595374285
('в', 'е');0.006529718975379259
('е', 'р');0.01141407610047252
('р', 'н');0.0016055707535438946
('н', 'т');0.0006306888833623477
('т', 'а');0.006509823427008207
('а', 'и');0.0014046257149962695
('и', 'н');0.006452126336732156
('н', 'с');0.0009211638895797066
('с', 'т');0.014400397910967422
('т', 'в');0.0033543894553593632
('е', 'н');0.010741606565530963
('н', 'н');0.0028152200945038546
('н', 'ы');0.004774931609052475
('ы', 'й');0.0017428500373041533
('й', 'о');0.0005411589156926138
('о', 'с');0.010827157423526485
('т', 'р');0.005067396170106939
('р', 'о');0.01098234270082069
('о', 'в');0.010397413578711764
('в', 'ж');5.7697090276050734e-05
('в', 'ч');0.0002506839094752549
('ч', 'а');0.00246903755284755
('а', 'с');0.006290972394926635
('т', 'ь');0.006784381994528724
('ь', 'п');0.0012613777667246954
('п', 'е');0.004106441183785128
('р', 'в');0.0005670231285749813
('в', 'а');0.006133797562795325
('а', 'я');0.0021268341208654563
('я', 'к');0.001356876398905745
('к', 'р');0.004048744093509077
('р', 'у');0.0038060184033822434
('у', 'ш');0.0008077592638647103
('ш', 'е');0.0022501865207659785
('н', 'и');0.009635414076100473
('и', 'е');0.00297040537179806
('е', 'в');0.004094503854762497
('в', 'в');0.0005968664511315593
('в', 'о');0.008310370554588411
('о', 'з');0.002809251429992539
('з', 'д');0.0009748818701815469
('д', 'у');0.001792588908231783
('у', 'х');0.0006167619995026113
('х', 'е');0.00011738373538920667
('е', 'г');0.004446655060930117
('г', 'л');0.0015339467794081075
('л', 'а');0.004955981099229048
('а', 'в');0.0048107435961203685
('а', 'п');0.003233026610295946
('я', 'у');0.00024272569012683413
('у', 'р');0.0013310121860233772
('р', 'а');0.009171847799054961
('а', 'г');0.0015021139020144243
('г', 'а');0.0014344690375528476
('а', 'н');0.0059229047500621735
('н', 'г');0.0002666003481720965
('г', 'о');0.008421785625466301
('о', 'д');0.00724197960706292
('д', 'а');0.004585923899527481
('з', 'г');0.00040984829644367076
('с', 'ы');0.00032031832877393683
('ы', 'н');0.0007500621735886595
('н', 'а');0.012215866699825915
('а', 'д');0.003370305894056205
('д', 'м');6.565530962447152e-05
('м', 'о');0.005019646854016414
('о', 'р');0.007976125341954738
('р', 'с');0.0007162397413578712
('с', 'к');0.0038458095001243473
('к', 'о');0.009651330514797314
('о', 'й');0.004371051977120119
('й', 'п');0.0008694354638149713
('п', 'у');0.0012653568763989057
('у', 'ч');0.001277294205421537
('ч', 'и');0.0015976125341954739
('н', 'о');0.01177816463566277
('й', 'в');0.000714250186520766
('ш', 'н');0.00031037055458841086
('й', 'ш');0.00022481969659288734
('ш', 'а');0.0009331012186023377
('а', 'р');0.00276747077841333
('у', 'н');0.0011897537925889081
('н', 'е');0.01020840586918677
('е', 'с');0.008391942302909725
('с', 'е');0.0034658045262372546
('й', 'б');0.00031236010942551604
('б', 'у');0.0015021139020144243
('р', 'е');0.009848296443670728
('е', 'й');0.0019776175080825666
('й', 'р');0.0014961452375031087
('а', 'з');0.004030838099975131
('з', 'о');0.001128077592638647
('я', 'о');0.0007560308380999751
('о', 'б');0.006493906988311366
('б', 'о');0.0026600348172096493
('о', 'л');0.007307634916687391
('л', 'о');0.008453618502859986
('о', 'ч');0.0025904003979109673
('ч', 'к');0.0004536185028599851
('к', 'а');0.00739915443919423
('а', 'к');0.005540910221337975
('у', 'г');0.001510072121362845
('о', 'м');0.005863218104949017
('м', 'т');0.0003581198706789356
('т', 'о');0.013509077343944293
('ь', 'к');0.001790599353394678
('е', 'п');0.0033344939069883113
('п', 'я');0.00046157672220840587
('я', 'т');0.0021208654563541407
('у', 'т');0.0028012932106441183
('т', 'н');0.0031673713006714747
('и', 'к');0.0037383735389206665
('ч', 'т');0.0025506093011688634
('о', 'п');0.004605819447898533
('п', 'р');0.007619995026112907
('о', 'и');0.0020552101467296692
('и', 'з');0.0031156428749067396
('о', 'ш');0.0009788609798557573
('ш', 'л');0.0007102710768465555
('в', 'г');0.00038000497388709274
('о', 'н');0.008232777915941307
('н', 'д');0.00038398408356130314
('д', 'о');0.004820691370305894
('л', 'е');0.006034319820940065
('е', 'з');0.002073116140263616
('з', 'е');0.0009549863218104949
('е', 'м');0.005107187266849043
('м', 'л');0.000503357373787615
('л', 'я');0.0018681919920417807
('я', 'н');0.001892066650087043
('р', 'и');0.005395672718229296
('т', 'е');0.00532802785376772
('з', 'в');0.0013349912956975877
('в', 'я');0.0003402138771449888
('я', 'з');0.0005212633673215618
('з', 'к');0.0003302661029594628
('д', 'р');0.0011957224571002237
('а', 'м');0.004361104202934594
('м', 'ы');0.0013131061924894305
('ы', 'п');0.0008674459089778662
('п', 'о');0.01022432230788361
('д', 'н');0.002769460333250435
('и', 'м');0.0036965928873414575
('м', 'а');0.0020989803531459837
('а', 'е');0.0012295448893310122
('м', 'с');0.0009549863218104949
('с', 'я');0.004725192738124845
('о', 'е');0.00246505844317334
('е', 'т');0.006340711265854265
('м', 'к');0.0006028351156428749
('к', 'н');0.0010803282765481223
('з', 'у');0.0004357125093260383
('у', 'и');0.0005610544640636657
('и', 'д');0.002538671972146232
('д', 'е');0.0054593384730166625
('м', 'х');0.00010345685152947027
('х', 'у');0.00024272569012683413
('у', 'ж');0.0016254663019149465
('ж', 'е');0.0037164884357125095
('м', 'и');0.005234518776423776
('и', 'с');0.006639144491420045
('с', 'а');0.0031176324297438446
('а', 'й');0.0018522755533449391
('с', 'п');0.002805272320318329
('п', 'а');0.001943795075851778
('м', 'б');0.0004197960706291967
('о', 'ж');0.002586421288236757
('б', 'а');0.0009112161153941806
('а', 'л');0.009261377766724695
('л', 'л');0.00023874658045262373
('т', 'з');0.00020890325789604575
('з', 'а');0.005170853021636409
('а', 'б');0.002536682417309127
('р', 'т');0.001428500373041532
('т', 'п');0.0009728923153444417
('с', 'л');0.003177319074857001
('е', 'д');0.004733150957473265
('и', 'й');0.0010604327281770703
('й', 'м');0.0004317333996518279
('м', 'е');0.0037523004227804028
('е', 'ш');0.000835613031584183
('ш', 'о');0.00022680925142999254
('о', 'к');0.004414822183536434
('к', 'с');0.0006227306640139269
('с', 'б');0.00014921661278288984
('б', 'р');0.001609549863218105
('с', 'и');0.0015438945535936335
('и', 'л');0.007582193484207908
('л', 'и');0.011754289977617509
('к', 'т');0.0005908977866202437
('р', 'ь');0.0004556080576970903
('т', 'ч');0.00030042278040288484
('о', 'э');0.00028848545138025365
('э', 'т');0.0019378264113404625
('к', 'б');0.00030838099975130564
('у', 'д');0.0027097736881372793
('д', 'т');0.0002825167868689381
('л', 'н');0.0012056702312857497
('п', 'л');0.0014125839343446904
('е', 'щ');0.0007918428251678687
('щ', 'у');0.00010942551604078587
('с', 'о');0.003569261377766725
('в', 'с');0.0029624471524496393
('б', 'л');0.0011439940313354886
('о', 'ф');0.0016354140761004725
('ф', 'у');0.00036806764486446155
('в', 'п');0.0011519522506839095
('ь', 'с');0.0022501865207659785
('о', 'т');0.009243471773190749
('л', 'у');0.0017149962695846804
('я', 'в');0.0015936334245212633
('и', 'п');0.0028231783138522757
('в', 'у');0.0007898532703307635
('л', 'в');0.0005570753543894554
('в', 'л');0.0010027356379010196
('й', 'г');0.0002566525739865705
('с', 'в');0.0016433722954488934
('т', 'я');0.0005928873414573489
('я', 'ж');0.0003302661029594628
('е', 'л');0.006304899278786372
('е', 'б');0.0017746829146978364
('д', 'и');0.002666003481720965
('с', 'с');0.0016990798308878388
('а', 'э');0.0003660780900273564
('т', 'и');0.005339965182790351
('и', 'р');0.0016433722954488934
('с', 'ь');0.004124347177319075
('ь', 'н');0.003047998010445163
('д', 'п');0.00024471524496393933
('у', 'с');0.0024272569012683412
('т', 'ы');0.0018423277791594131
('ш', 'и');0.002272071623974136
('ь', 'ю');0.0004953991544391943
('ю', 'т');0.000493409599602089
('и', 'х');0.0025645361850285997
('х', 'о');0.0028868440686396417
('о', 'г');0.00553096244715245
('о', 'о');0.0021089281273315094
('к', 'е');0.0008634667993036558
('е', 'а');0.00040586918676946036
('а', 'о');0.0014464063665754786
('ч', 'е');0.0036965928873414575
('ы', 'р');0.0004476498383486695
('е', 'х');0.0006167619995026113
('х', 'ч');0.00010146729669236509
('в', 'д');0.0007421039542402387
('н', 'я');0.0011758269087291718
('я', 'м');0.0007998010445162895
