Біграма;Частота
('ж', 'ю');3.3775568105055528e-06
('ю', 'л');7.430624983112216e-05
('л', 'ь');0.0038166391958712746
('ь', ' ');0.010132670431516657
(' ', 'в');0.013773676673241643
('в', 'е');0.0054395552433191925
('е', 'р');0.009261260774406225
('р', 'н');0.001237874571050285
('н', ' ');0.002425085789942987
(' ', 'т');0.006533883649922992
('т', 'а');0.005480085925045259
('а', 'и');0.00015199005647274988
('и', 'н');0.003654516468967008
('н', 'с');0.0002431840903563998
('с', 'т');0.012032546137426032
('т', 'в');0.002264651841443973
('е', 'н');0.007798778675457321
('н', 'н');0.0021346159042395095
('н', 'ы');0.004053068172606663
('ы', 'й');0.001479369883001432
('й', ' ');0.006591302115701586
(' ', 'о');0.01158839741684455
('о', 'с');0.007489732227296063
('т', 'р');0.004147639763300819
('р', 'о');0.009261260774406225
('о', 'в');0.007035450836283067
('в', 'ж');3.3775568105055528e-06
('н', 'т');0.00045428139101299684
('в', 'ч');5.9107244183847176e-05
('ч', 'а');0.002083952552081926
('а', 'с');0.003872368883244616
('т', 'ь');0.005758734361911967
(' ', 'п');0.017060039449863548
('п', 'е');0.0034788835148207194
('р', 'в');0.00040868437407117186
('в', 'а');0.005123753681536923
('а', 'я');0.0017529519846523818
('я', 'к');0.0006332919019697911
('к', 'р');0.0033015617822691776
('р', 'у');0.0031901024075224947
('у', 'ш');0.0006451133508065606
('ш', 'е');0.0019083195979356373
('н', 'и');0.008020008646545436
('и', 'е');0.0020265340863033316
('е', ' ');0.015004796130670918
('в', ' ');0.006366694587802967
('в', 'о');0.0066301440190224
('о', 'з');0.0017563295414628874
('з', 'д');0.0007616390607690022
('д', 'у');0.0014709259909751681
('у', 'х');0.00047454673187603016
('х', 'е');4.221946013131941e-05
('е', 'г');0.0034467967251209167
('г', 'л');0.0012936042584236267
('л', 'а');0.0041949255586478966
('а', 'в');0.002784795590261828
('а', ' ');0.015031816585154963
('я', 'у');5.066335215758329e-06
('у', 'р');0.0009727363614255992
('р', 'а');0.007768380664162771
('а', 'г');0.0008714096571104325
('г', 'а');0.0012108541165662407
('а', 'н');0.003541368315815072
(' ', ' ');0.0012294306790240211
(' ', 'г');0.00409359885433273
('г', 'о');0.007047272285119836
('о', 'д');0.005275743738009674
('д', 'а');0.0038825015536761327
('з', 'г');0.00030398011294549977
('с', 'ы');0.00027189332324569697
('ы', ' ');0.004679604960955443
(' ', 'н');0.014503228944310843
('н', 'а');0.01034039017536275
('а', 'д');0.0021447485746710258
('д', ' ');0.0009845578102623685
(' ', 'м');0.005289253965251695
('м', 'о');0.0036612715825880193
('о', 'р');0.00627718933232457
('р', 'с');0.0002786484368667081
('с', 'к');0.003095530816828339
('к', 'о');0.007900105379772487
('о', 'й');0.0037102461563403495
('п', 'у');0.0010706855089302602
('у', 'ч');0.0009102515604312465
('ч', 'и');0.0013493339457969684
('н', 'о');0.009855710773055203
('ш', 'н');0.00026007187440892755
(' ', 'ш');0.0009845578102623685
('ш', 'а');0.0007920370720635521
('а', 'р');0.001948850279661704
('р', ' ');0.0011314815315193601
(' ', 'у');0.004179726553000622
('у', 'н');0.00029891377772974144
('н', 'е');0.008639790321273204
('е', 'с');0.005757045583506715
('с', 'е');0.0029097651922505336
(' ', 'б');0.006861506660542031
('б', 'у');0.0012513847982923072
('р', 'е');0.008337498986732956
('е', 'й');0.0016786457348212597
(' ', 'р');0.003956807803507255
('а', 'з');0.0029570509875976115
('з', 'о');0.000815679969737091
('я', ' ');0.008526642168121268
('о', 'б');0.004232078683563458
('б', 'о');0.002159947580318301
('о', 'л');0.0059022805263584536
('л', 'о');0.006805776973168688
('о', 'ч');0.001722553973357832
('ч', 'к');0.0003782863627766219
('к', 'а');0.006231592315382744
(' ', 'к');0.008405050122943068
('у', 'г');0.0011821448836769435
('о', 'м');0.004291185927747305
('м', ' ');0.006846307654894755
('т', 'о');0.011049677105568916
('ь', 'к');0.0009609149125888297
('о', ' ');0.018640736037180146
('п', 'я');0.0003917965900186441
('я', 'т');0.0014658596557594098
('у', 'т');0.002168391472344565
('т', 'н');0.002029911643113837
('и', 'к');0.002116039341781729
(' ', 'ч');0.0038521035423815827
('ч', 'т');0.0021633251371288064
('п', 'р');0.0064494447296603525
('о', 'и');0.0008578994298684104
('и', 'з');0.002166702693939312
('о', 'ш');0.0006957767029641439
('ш', 'л');0.0006028938906752412
('о', 'н');0.005263922289172904
('н', 'д');0.00021954119268286092
('д', 'о');0.004042935502175146
('л', 'е');0.004931232943338107
(' ', 'з');0.004152706098516577
('з', 'е');0.0007819044016320355
('е', 'м');0.0036308735712934693
('м', 'л');0.0003073576697560053
('л', 'я');0.0015688751384798291
('р', 'и');0.004493839336377638
('т', 'е');0.004433043313788538
('з', 'в');0.0009997568159096435
('в', 'я');0.00023980653354589425
('я', 'з');0.0001992758518198276
('з', 'к');0.00015367883487800264
(' ', 'д');0.006898659785457591
('д', 'р');0.0009693588046150937
('а', 'м');0.0032188116404117915
('м', 'ы');0.0011145937474668324
('ы', 'п');0.00015199005647274988
('п', 'о');0.008666810775757249
('д', 'н');0.002212299710881137
('и', 'м');0.002507835931800373
('м', 'а');0.0016955335188737874
('а', 'е');0.0007734605096057715
('м', 'с');0.00016212272690426652
('с', 'я');0.003992272150017563
('а', 'к');0.003798062633413494
('о', 'е');0.0017495744278418763
('к', 'н');0.0005843173282174606
('з', 'у');0.0003276230106190386
('у', ' ');0.005358493879867059
(' ', 'и');0.009497689751141614
('и', 'д');0.0012294306790240211
('д', 'е');0.004620497716771596
('м', 'х');1.3510227242022211e-05
('х', 'у');0.00010132670431516658
('у', 'ж');0.0012969818152341322
('ж', 'е');0.003147882947391175
('м', 'и');0.003955119025102002
('и', 'с');0.004000716042043827
(' ', 'с');0.014955821556918587
('с', 'а');0.0026226728633575616
('а', 'й');0.0015722526952903347
('й', 'р');0.0010453538328514685
('с', ' ');0.0030904644816125808
('п', 'а');0.0016482477235267097
('м', 'б');4.390823853657218e-05
('о', 'ж');0.0018964981490988677
('б', 'а');0.000770082952795266
('а', 'л');0.00762145694290578
('л', 'л');0.0001503012780674971
('т', ' ');0.005951255100110784
('з', 'а');0.0043773136264151965
('р', 'т');0.0011939663325137128
('т', 'п');0.00015874517009376097
('с', 'л');0.002668269880299387
('е', 'д');0.0032508984301115947
('и', 'й');0.0009001188899997298
('м', 'е');0.0030786430327758114
('е', 'ш');0.0006332919019697911
('ш', 'о');0.00018069928936204706
('о', 'к');0.0027223107892674755
('к', ' ');0.004156083655327082
('с', 'б');5.4040908968088844e-05
('б', 'р');0.001351022724202221
('с', 'и');0.0012395633494555378
('и', 'л');0.006174173849604151
('л', 'и');0.009517955092004647
('е', 'п');0.0010082007079359075
('р', 'ь');0.0003867302548028858
('я', 'н');0.0006079602258909995
('е', 'т');0.00472013564268151
('т', 'ч');0.00012496960198870544
(' ', 'э');0.0016803345132265124
('э', 'т');0.001644870166716204
('у', 'д');0.0021227944554027397
('д', 'т');0.00021616363587235538
('л', 'н');0.0005353427544651301
('п', 'л');0.0011804561052716908
('е', 'щ');0.0006670674700748467
('щ', 'у');9.28828122889027e-05
('и', ' ');0.01848367964549164
('с', 'о');0.002847280391256181
('в', 'с');0.0019353400524196817
('б', 'л');0.0009676700262098408
(' ', 'ф');0.0005404090896808884
('ф', 'у');0.0002854035504877192
('ь', 'с');0.0010436650544462158
('о', 'т');0.007001675268178011
('т', 'з');2.5331676078791646e-05
('л', 'у');0.0013645329514442434
('в', 'у');0.0005066335215758329
('л', ' ');0.00546826447620849
('в', 'л');0.0006383582371855494
('с', 'в');0.0012024102245399768
('т', 'я');0.0004728579534707774
('я', 'ж');0.0002077197438460915
('е', 'л');0.005086600556621362
('с', 'п');0.002107595449755465
('д', 'и');0.0022055445972601257
('с', 'с');0.0005860061066227134
('т', 'и');0.0040294252749331246
('с', 'ь');0.0035008376340890054
('у', 'с');0.0015519873544273014
('т', 'ы');0.001563808803264071
('ы', 'н');0.00012328082358345268
('ш', 'и');0.001925207381988165
('и', 'р');0.0009406495717257965
('ь', 'ю');0.00040530681726066634
('ю', ' ');0.0020349779783295956
('и', 'х');0.0020366667567348483
('х', 'о');0.0021785241427760816
('о', 'г');0.004373936069604691
('к', 'е');0.0006772001405063634
('е', 'а');0.00020603096544083871
('ч', 'е');0.0031360614985544055
('ы', 'р');0.0002516279823826637
('е', 'х');0.000385041476397633
('х', ' ');0.003921343456996947
('н', 'я');0.0009879353670728742
(' ', 'е');0.0027375097949147503
('щ', 'е');0.0012699613607500878
('м', 'я');0.0003715312491556108
('ж', 'а');0.0010318436056094464
('с', 'н');0.0010943284066037991
('р', 'я');0.0014844362182171904
('з', 'ы');0.0002702045448404442
('ы', 'г');6.586235780485828e-05
('г', 'р');0.0013054257072603961
('в', 'ш');0.0010689967305250075
('я', 'с');0.0004644140614445135
('в', 'н');0.0008055472993055743
('в', 'и');0.0026311167553838256
('и', 'я');0.001268272582344835
('г', 'д');0.0008764759923261909
('е', 'в');0.002083952552081926
('у', 'п');0.0006299143451592856
('п', 'с');2.7020454484044422e-05
('б', 'е');0.0031681482882542082
('е', 'з');0.0012800940311816045
('з', ' ');0.0016043394849901374
('д', 'ы');0.0007363073846902105
('ы', 'ш');0.0003782863627766219
('ш', 'к');0.00030229133454024695
('к', 'и');0.003259342322137858
('м', 'н');0.0010318436056094464
('ы', 'е');0.001457415763733146
('о', 'п');0.0017647734334891513
(' ', 'а');0.0015384771271852794
('в', 'р');0.0006028938906752412
('з', 'и');0.0004644140614445135
('и', 'и');0.0005336539760598774
('а', 'х');0.0009406495717257965
('х', 'в');0.0002921586641087303
('а', 'т');0.004392512632062471
('и', 'в');0.002242697722175687
('н', 'у');0.002394687778648437
('о', 'ю');0.00016718906212002485
('ы', 'с');0.0010301548272041935
('я', 'ч');0.00016043394849901376
('ч', 'у');0.0003782863627766219
('м', 'ь');7.937258504688049e-05
('у', 'в');0.0004981896295495691
('ш', 'у');0.00022291874949336647
('у', 'ю');0.0010588640600934908
('ю', 'с');0.00014185738604123322
('э', 'к');5.9107244183847176e-05
('к', 'в');0.00010132670431516658
('д', 'ц');0.00033268934583479694
('ц', 'а');0.0007008430381799022
(' ', 'ю');0.0005252100840336134
('ю', 'ж');0.00020265340863033317
('ж', 'н');0.0011787673268664378
('з', 'р');0.00035126590829257745
(' ', 'л');0.0024875705909373396
('в', 'ы');0.0023490907617066117
('е', 'ж');0.0011281039747088545
('ж', 'ь');0.0001503012780674971
('ь', 'я');0.0007363073846902105
('и', 'ч');0.0012598286903185711
('ы', 'б');0.00027527088005620254
('г', ' ');0.000822435083358102
('а', 'б');0.0014253289740333431
('с', 'ч');0.00040192926045016077
('я', 'в');0.00037490880596611635
('я', 'м');0.00042388337971844685
('д', 'к');0.0003951741468291497
('б', 'ю');3.3775568105055528e-06
('ю', 'р');1.3510227242022211e-05
('и', 'т');0.004861993028722743
(' ', 'ц');0.0002702045448404442
('ц', 'е');0.0006079602258909995
('л', 'ы');0.0007616390607690022
('а', 'щ');0.00030566889135075253
('г', 'у');0.0007717717312005188
('у', 'б');0.000672133805290605
('б', 'и');0.0008494555378421465
('ь', 'н');0.0014759923261909265
('с', 'м');0.0014861249966224431
('р', 'ч');8.275014185738605e-05
('г', 'и');0.00048130184549704125
('л', 'ю');0.0006518684644275717
('ю', 'д');0.00031073522656651086
('и', 'б');0.0006738225836958577
('б', 'ш');5.7418465778594396e-05
('с', 'у');0.0008325677537896187
('е', 'б');0.0006704450268853522
('ы', 'х');0.0012632062471290768
('б', 'ы');0.0038841903320813854
('ы', 'л');0.0024453511308060202
('д', 'с');0.00029046988570347753
('з', 'н');0.0010656191737145018
('в', 'з');0.00039010781161339135
('а', 'ж');0.0007971034072793104
('с', 'ш');9.96379259099138e-05
('г', 'в');2.0265340863033315e-05
('к', 'т');0.0002938474425139831
('я', 'б');7.430624983112216e-05
('и', 'ю');0.00028709232889297196
('е', 'е');0.0010943284066037991
('а', 'ш');0.0005978275554594829
('й', 'у');8.443892026263882e-06
('д', 'х');4.897457375233051e-05
('д', 'б');4.053068172606663e-05
('ч', ' ');8.275014185738605e-05
('р', 'ш');0.0001925207381988165
('в', 'м');0.00012496960198870544
('л', 'б');3.2086789699802753e-05
('х', 'а');0.00027189332324569697
('м', 'ч');6.079602258909995e-05
('е', 'к');0.0013104920424761544
('к', 'у');0.0015435434624010377
('д', 'в');0.0011365478667351185
('ь', 'е');0.0005252100840336134
('е', 'ч');0.0010453538328514685
('в', 'т');0.000241495311951147
('л', 'ч');0.00011145937474668323
('щ', 'а');0.0004576589478235024
('л', 'с');0.0012750276959658461
('б', 'с');0.0001655002837147721
('м', 'п');8.781647707314436e-05
('и', 'ж');0.00025669431759842203
('т', 'к');0.0006096490042962522
('з', 'л');0.00029046988570347753
