Біграма;Частота
('о', ' ');0.018640736037180146
('и', ' ');0.01848367964549164
(' ', 'п');0.017060039449863548
('а', ' ');0.015031816585154963
('е', ' ');0.015004796130670918
(' ', 'с');0.014955821556918587
(' ', 'н');0.014503228944310843
(' ', 'в');0.013773676673241643
('с', 'т');0.012032546137426032
(' ', 'о');0.01158839741684455
('т', 'о');0.011049677105568916
('н', 'а');0.01034039017536275
('ь', ' ');0.010132670431516657
('н', 'о');0.009855710773055203
('л', 'и');0.009517955092004647
(' ', 'и');0.009497689751141614
('е', 'р');0.009261260774406225
('р', 'о');0.009261260774406225
('п', 'о');0.008666810775757249
('н', 'е');0.008639790321273204
('я', ' ');0.008526642168121268
(' ', 'к');0.008405050122943068
('р', 'е');0.008337498986732956
('н', 'и');0.008020008646545436
('к', 'о');0.007900105379772487
('е', 'н');0.007798778675457321
('р', 'а');0.007768380664162771
('а', 'л');0.00762145694290578
('о', 'с');0.007489732227296063
('г', 'о');0.007047272285119836
('о', 'в');0.007035450836283067
('о', 'т');0.007001675268178011
(' ', 'д');0.006898659785457591
(' ', 'б');0.006861506660542031
('м', ' ');0.006846307654894755
('л', 'о');0.006805776973168688
('в', 'о');0.0066301440190224
('й', ' ');0.006591302115701586
(' ', 'т');0.006533883649922992
('п', 'р');0.0064494447296603525
('в', ' ');0.006366694587802967
('о', 'р');0.00627718933232457
('к', 'а');0.006231592315382744
('и', 'л');0.006174173849604151
('т', ' ');0.005951255100110784
('о', 'л');0.0059022805263584536
('т', 'ь');0.005758734361911967
('е', 'с');0.005757045583506715
('т', 'а');0.005480085925045259
('л', ' ');0.00546826447620849
('в', 'е');0.0054395552433191925
('у', ' ');0.005358493879867059
(' ', 'м');0.005289253965251695
('о', 'д');0.005275743738009674
('о', 'н');0.005263922289172904
('в', 'а');0.005123753681536923
('е', 'л');0.005086600556621362
('л', 'е');0.004931232943338107
('и', 'т');0.004861993028722743
('е', 'т');0.00472013564268151
('ы', ' ');0.004679604960955443
('д', 'е');0.004620497716771596
('р', 'и');0.004493839336377638
('т', 'е');0.004433043313788538
('а', 'т');0.004392512632062471
('з', 'а');0.0043773136264151965
('о', 'г');0.004373936069604691
('о', 'м');0.004291185927747305
('о', 'б');0.004232078683563458
('л', 'а');0.0041949255586478966
(' ', 'у');0.004179726553000622
('к', ' ');0.004156083655327082
(' ', 'з');0.004152706098516577
('т', 'р');0.004147639763300819
(' ', 'г');0.00409359885433273
('н', 'ы');0.004053068172606663
('д', 'о');0.004042935502175146
('т', 'и');0.0040294252749331246
('и', 'с');0.004000716042043827
('с', 'я');0.003992272150017563
(' ', 'р');0.003956807803507255
('м', 'и');0.003955119025102002
('х', ' ');0.003921343456996947
('б', 'ы');0.0038841903320813854
('д', 'а');0.0038825015536761327
('а', 'с');0.003872368883244616
(' ', 'ч');0.0038521035423815827
('л', 'ь');0.0038166391958712746
('а', 'к');0.003798062633413494
('о', 'й');0.0037102461563403495
('м', 'о');0.0036612715825880193
('и', 'н');0.003654516468967008
('е', 'м');0.0036308735712934693
('а', 'н');0.003541368315815072
('с', 'ь');0.0035008376340890054
('п', 'е');0.0034788835148207194
('е', 'г');0.0034467967251209167
('к', 'р');0.0033015617822691776
('к', 'и');0.003259342322137858
('е', 'д');0.0032508984301115947
('а', 'м');0.0032188116404117915
('р', 'у');0.0031901024075224947
('б', 'е');0.0031681482882542082
('ж', 'е');0.003147882947391175
('ч', 'е');0.0031360614985544055
('с', 'к');0.003095530816828339
('с', ' ');0.0030904644816125808
('м', 'е');0.0030786430327758114
('а', 'з');0.0029570509875976115
('с', 'е');0.0029097651922505336
('с', 'о');0.002847280391256181
('а', 'в');0.002784795590261828
(' ', 'е');0.0027375097949147503
('о', 'к');0.0027223107892674755
('с', 'л');0.002668269880299387
('в', 'и');0.0026311167553838256
('с', 'а');0.0026226728633575616
('и', 'м');0.002507835931800373
(' ', 'л');0.0024875705909373396
('ы', 'л');0.0024453511308060202
('н', ' ');0.002425085789942987
('н', 'у');0.002394687778648437
('в', 'ы');0.0023490907617066117
('т', 'в');0.002264651841443973
('и', 'в');0.002242697722175687
('д', 'н');0.002212299710881137
('д', 'и');0.0022055445972601257
('х', 'о');0.0021785241427760816
('у', 'т');0.002168391472344565
('и', 'з');0.002166702693939312
('ч', 'т');0.0021633251371288064
('б', 'о');0.002159947580318301
('а', 'д');0.0021447485746710258
('н', 'н');0.0021346159042395095
('у', 'д');0.0021227944554027397
('и', 'к');0.002116039341781729
('с', 'п');0.002107595449755465
('ч', 'а');0.002083952552081926
('е', 'в');0.002083952552081926
('и', 'х');0.0020366667567348483
('ю', ' ');0.0020349779783295956
('т', 'н');0.002029911643113837
('и', 'е');0.0020265340863033316
('а', 'р');0.001948850279661704
('в', 'с');0.0019353400524196817
('ш', 'и');0.001925207381988165
('ш', 'е');0.0019083195979356373
('о', 'ж');0.0018964981490988677
(' ', 'ж');0.0018373909049150207
('н', 'к');0.0018171255640519874
('о', 'п');0.0017647734334891513
('о', 'з');0.0017563295414628874
('а', 'я');0.0017529519846523818
('о', 'е');0.0017495744278418763
('о', 'ч');0.001722553973357832
('ж', 'и');0.001707354967710557
('м', 'а');0.0016955335188737874
(' ', 'э');0.0016803345132265124
('е', 'й');0.0016786457348212597
('п', 'а');0.0016482477235267097
('э', 'т');0.001644870166716204
('з', ' ');0.0016043394849901374
('р', 'ы');0.0016026507065848847
('а', 'й');0.0015722526952903347
('л', 'я');0.0015688751384798291
('т', 'ы');0.001563808803264071
('у', 'с');0.0015519873544273014
('к', 'у');0.0015435434624010377
(' ', 'а');0.0015384771271852794
('т', 'у');0.001518211786322246
('с', 'м');0.0014861249966224431
('р', 'я');0.0014844362182171904
('ы', 'й');0.001479369883001432
