Літера;Частота
ж;0.010409330197801148
ю;0.005017647316294819
л;0.04970296005379746
ь;0.01982985360884634
в;0.043065818322171955
е;0.08551487587192068
р;0.05168057362730937
н;0.06371337734219877
т;0.060796695753900516
а;0.074242080592727
и;0.07091555152339911
с;0.055472657602272865
ы;0.020259596598663818
й;0.01116734908261809
о;0.11360733428035955
ч;0.013089255231524035
п;0.029847242283526917
я;0.018395387425242625
к;0.03434163771870138
у;0.027756224309924277
ш;0.007872652827350755
з;0.016242693374397665
д;0.030458034403313797
х;0.009201672814378881
г;0.01858240520784838
м;0.028482410380680664
б;0.019282727117180567
э;0.0022462029421478394
щ;0.0035175259536912138
ф;0.0025068341072686253
ц;0.0027794025776621185
