Літера;Частота
 ;0.15117749875452802
о;0.09643246164368524
е;0.07258695083129976
а;0.06301834854638644
и;0.06019471582129377
н;0.054081348318401744
т;0.0516056033572858
с;0.0470864399766949
р;0.04386763377213351
л;0.04218899087216813
в;0.03655523562640907
к;0.02914995482525395
д;0.025853464945241454
п;0.02533501085038293
м;0.024176510820829358
у;0.023560107743880298
ы;0.017196801459102077
ь;0.016832025939592498
б;0.0163676126624391
г;0.015773163667682746
я;0.015614418765673948
з;0.01378716361701948
ч;0.01111045436506261
й;0.009479097180589214
ж;0.008835673694787594
х;0.0078105869339435445
ш;0.006682484864349103
ю;0.004259091945384999
щ;0.0029857551782080404
ц;0.0023592194479392717
ф;0.002127857197139214
э;0.0019066275996588674
