 ,0.1598065262327126
о,0.09631639212145293
е,0.07285024134851462
а,0.06632700485080383
н,0.0599876269943981
т,0.056629482958857544
и,0.055564124276184276
с,0.04450230316996131
л,0.04004713590796717
в,0.03658991249350111
р,0.035069333434115106
м,0.026508670807571844
д,0.026407208075888675
к,0.02463876032970621
у,0.021433150870655785
п,0.0210208308435809
я,0.016927592721785446
ь,0.016401893199239098
г,0.016335159322024666
ы,0.01632800926375169
з,0.015051553622542976
б,0.013855791496129265
ч,0.013793143366499389
й,0.008694470859937508
ж,0.008521507545524592
х,0.0066580661680011735
ш,0.006420071371200723
ю,0.005163023031018655
э,0.0048545490883845945
щ,0.002980893341899784
ц,0.0026792289785733184
ф,0.0014041352532261234
ъ,0.0002322066543889952
