  	18471	0.0247455
 а	1221	0.00163577
 б	4800	0.00643054
 в	10381	0.0139074
 г	2828	0.00378866
 д	4884	0.00654308
 е	1945	0.00260571
 ж	986	0.00132094
 з	2355	0.00315498
 и	6777	0.00907912
 й	1	1.3397e-06
 к	5126	0.00686728
 л	1539	0.00206179
 м	4107	0.00550213
 н	11437	0.0153221
 о	6606	0.00885003
 п	10926	0.0146375
 р	3042	0.00407536
 с	10265	0.013752
 т	6566	0.00879644
 у	2324	0.00311345
 ф	707	0.000947165
 х	645	0.000864104
 ц	492	0.00065913
 ч	3453	0.00462597
 ш	325	0.000435401
 щ	2	2.67939e-06
 э	2669	0.00357565
 ю	53	7.10039e-05
 я	1058	0.0014174
а 	7949	0.0106492
аб	676	0.000905634
ав	2164	0.0028991
аг	557	0.000746211
ад	985	0.0013196
ае	1099	0.00147233
аж	738	0.000988696
аз	2089	0.00279863
аи	146	0.000195596
ай	281	0.000376455
ак	2875	0.00385163
ал	3745	0.00501716
ам	2163	0.00289776
ан	3815	0.00511094
ао	36	4.82291e-05
ап	349	0.000467554
ар	2892	0.0038744
ас	2607	0.00349259
ат	3529	0.00472779
ау	95	0.000127271
аф	26	3.48321e-05
ах	535	0.000716737
ац	761	0.00101951
ач	762	0.00102085
аш	1075	0.00144017
ащ	215	0.000288035
аэ	3	4.01909e-06
аю	699	0.000936448
ая	1138	0.00152457
б 	89	0.000119233
ба	363	0.00048631
бб	1	1.3397e-06
бв	20	2.67939e-05
бд	6	8.03818e-06
бе	1474	0.00197471
бж	8	1.07176e-05
би	304	0.000407268
бк	32	4.28703e-05
бл	643	0.000861425
бм	32	4.28703e-05
бн	213	0.000285355
бо	2570	0.00344302
бр	869	0.0011642
бс	392	0.000525161
бу	953	0.00127673
бх	156	0.000208993
бш	7	9.37787e-06
бщ	333	0.000446119
бы	2750	0.00368416
бь	169	0.000226409
бю	13	1.7416e-05
бя	236	0.000316168
в 	4954	0.00663685
ва	3206	0.00429507
вб	1	1.3397e-06
вв	32	4.28703e-05
вг	8	1.07176e-05
вд	77	0.000103157
ве	3504	0.00469429
вз	172	0.000230428
ви	2120	0.00284016
вк	167	0.000223729
вл	1007	0.00134907
вм	66	8.84199e-05
вн	1019	0.00136515
во	5467	0.00732412
вп	162	0.000217031
вр	1048	0.001404
вс	2131	0.00285489
вт	140	0.000187557
ву	440	0.000589466
вх	10	1.3397e-05
вц	9	1.20573e-05
вч	4	5.35878e-06
вш	242	0.000324206
вщ	8	1.07176e-05
вы	1372	0.00183806
вь	94	0.000125931
вя	170	0.000227748
г 	361	0.00048363
га	880	0.00117893
гб	1	1.3397e-06
гв	4	5.35878e-06
гг	14	1.87557e-05
гд	828	0.00110927
ге	634	0.000849367
ги	601	0.000805157
гк	60	8.03818e-05
гл	757	0.00101415
гм	6	8.03818e-06
гн	140	0.000187557
го	5358	0.00717809
гр	620	0.000830612
гс	23	3.0813e-05
гт	2	2.67939e-06
гу	252	0.000337603
гч	33	4.421e-05
гш	4	5.35878e-06
д 	775	0.00103826
да	4014	0.00537754
дб	4	5.35878e-06
дв	484	0.000648413
дг	30	4.01909e-05
дд	42	5.62672e-05
де	3660	0.00490329
дж	9	1.20573e-05
дз	3	4.01909e-06
ди	1704	0.00228284
дк	103	0.000137989
дл	703	0.000941806
дм	30	4.01909e-05
дн	1255	0.00168132
до	2318	0.00310542
дп	114	0.000152725
др	590	0.000790421
дс	449	0.000601523
дт	110	0.000147367
ду	1050	0.00140668
дх	21	2.81336e-05
дц	45	6.02863e-05
дч	50	6.69848e-05
дш	44	5.89466e-05
ды	456	0.000610901
дь	406	0.000543917
дю	6	8.03818e-06
дя	184	0.000246504
е 	13312	0.017834
еа	109	0.000146027
еб	696	0.000932428
ев	1260	0.00168802
ег	1545	0.00206983
