  	25083	0.0168018
 א	30909	0.0207043
 ב	3958	0.00265126
 ג	8148	0.00545792
 ד	1926	0.00129013
 ה	4120	0.00275977
 ו	27730	0.0185749
 ז	1198	0.000802478
 ח	2675	0.00179184
 ט	9226	0.00618002
 י	87	5.82768e-05
 ך	5029	0.00336867
 כ	5787	0.00387641
 ל	3421	0.00229155
 ם	9011	0.006036
 מ	42332	0.028356
 ן	4318	0.0028924
 נ	16532	0.0110739
 ס	9073	0.00607753
 ע	17382	0.0116433
 ף	6115	0.00409612
 פ	211	0.000141338
 ץ	777	0.000520472
 צ	116	7.77024e-05
 ק	5406	0.0036212
 ר	135	9.04295e-05
 ש	713	0.000477602
 û	7505	0.00502721
 ü	53	3.55019e-05
 ‎	785	0.000525831
 ‏	1139	0.000762957
 ÿ	937	0.000627648
א 	12772	0.0085553
אא	6000	0.00401909
אב	906	0.000606882
אג	1893	0.00126802
אד	608	0.000407268
אה	1916	0.00128343
או	5873	0.00393402
אז	248	0.000166122
אח	389	0.000260571
אט	13387	0.00896726
אי	4	2.67939e-06
אך	1259	0.000843339
אכ	1778	0.00119099
אל	1439	0.000963911
אם	4417	0.00295872
אמ	9411	0.00630394
אן	1523	0.00102018
אנ	1013	0.000678556
אס	4577	0.00306589
אע	6685	0.00447793
אף	1299	0.000870133
אפ	158	0.000105836
אץ	299	0.000200285
אצ	408	0.000273298
אק	332	0.00022239
אר	485	0.000324876
אש	404	0.000270619
אû	1811	0.00121309
אü	5613	0.00375986
א‎	461	0.0003088
א‏	20	1.3397e-05
אÿ	640	0.000428703
ב 	4398	0.00294599
בא	1968	0.00131826
בב	71	4.75592e-05
בג	522	0.000349661
בד	170	0.000113874
בה	1724	0.00115482
בו	1500	0.00100477
בז	443	0.000296743
בח	587	0.000393201
בט	494	0.000330905
בי	202	0.000135309
בך	164	0.000109855
בכ	4219	0.00282609
בל	116	7.77024e-05
בם	338	0.000226409
במ	853	0.00057138
בן	10	6.69848e-06
בנ	1423	0.000953194
בס	803	0.000537888
בע	1779	0.00119166
בף	92	6.1626e-05
בץ	36	2.41145e-05
בצ	7	4.68894e-06
בק	375	0.000251193
בר	16	1.07176e-05
בש	32	2.14351e-05
בû	148	9.91375e-05
בü	32	2.14351e-05
ב‎	43	2.88035e-05
ב‏	279	0.000186888
בÿ	260	0.00017416
ג 	5713	0.00382684
גא	988	0.00066181
גב	617	0.000413296
גג	1311	0.000878171
גד	705	0.000472243
גה	2409	0.00161366
גו	8553	0.00572921
גז	992	0.000664489
גח	1364	0.000913673
גט	2176	0.00145759
גי	1122	0.000751569
גך	1177	0.000788411
גכ	3020	0.00202294
גל	1091	0.000730804
גם	3706	0.00248246
גמ	2042	0.00136783
גן	1239	0.000829942
גנ	3085	0.00206648
גס	2811	0.00188294
גע	5544	0.00371364
גף	468	0.000313489
גפ	38	2.54542e-05
גץ	484	0.000324206
גצ	93	6.22959e-05
גק	482	0.000322867
גר	198	0.00013263
גש	195	0.00013062
גû	250	0.000167462
ג‎	621	0.000415976
ג‏	1049	0.000702671
גÿ	1814	0.0012151
ד 	7537	0.00504864
דא	2878	0.00192782
דב	241	0.000161433
דג	563	0.000377124
דד	137	9.17692e-05
דה	510	0.000341622
דו	663	0.000444109
דז	2	1.3397e-06
דח	140	9.37787e-05
דט	573	0.000383823
די	210	0.000140668
דך	68	4.55497e-05
דכ	375	0.000251193
דל	440	0.000294733
דם	960	0.000643054
דמ	607	0.000406598
דן	95	6.36356e-05
דנ	1473	0.000986686
דס	1612	0.00107979
דע	559	0.000374445
דף	534	0.000357699
דפ	4	2.67939e-06
דץ	288	0.000192916
דצ	10	6.69848e-06
דק	132	8.84199e-05
דר	13	8.70802e-06
דש	34	2.27748e-05
דû	34	2.27748e-05
ד‎	6	4.01909e-06
ד‏	140	9.37787e-05
דÿ	296	0.000198275
ה 	6841	0.00458243
הא	794	0.000531859
הב	653	0.000437411
הג	1315	0.00088085
הד	210	0.000140668
הה	99	6.6315e-05
הו	1391	0.000931759
הז	511	0.000342292
הח	79	5.2918e-05
הט	1830	0.00122582
הי	1350	0.000904295
הך	416	0.000278657
הכ	4026	0.00269681
הל	1518	0.00101683
הם	2384	0.00159692
המ	1693	0.00113405
הן	224	0.000150046
הנ	2339	0.00156677
הס	1119	0.00074956
הע	3867	0.0025903
הף	1169	0.000783052
הפ	17	1.13874e-05
הץ	310	0.000207653
הצ	66	4.421e-05
הק	338	0.000226409
הר	268	0.000179519
הש	339	0.000227078
הû	313	0.000209662
הü	1	6.69848e-07
ה‎	41	2.74638e-05
ה‏	405	0.000271288
הÿ	1519	0.0010175
ו 	19107	0.0127988
וא	4056	0.0027169
וב	1569	0.00105099
וג	3478	0.00232973
וד	923	0.00061827
וה	2391	0.00160161
וו	8998	0.00602729
וז	643	0.000430712
וח	971	0.000650422
וט	11212	0.00751034
וי	14	9.37787e-06
וך	3522	0.0023592
וכ	2235	0.00149711
ול	2345	0.00157079
ום	9839	0.00659063
ומ	8035	0.00538223
ון	3464	0.00232035
ונ	2324	0.00155673
וס	6403	0.00428904
וע	5956	0.00398961
וף	2593	0.00173692
ופ	120	8.03818e-05
וץ	378	0.000253203
וצ	565	0.000378464
וק	684	0.000458176
ור	1012	0.000677886
וש	80	5.35878e-05
וû	1074	0.000719417
וü	5171	0.00346378
ו‎	447	0.000299422
ו‏	62	4.15306e-05
וÿ	2027	0.00135778
ז 	2747	0.00184007
זא	731	0.000489659
זב	7	4.68894e-06
זג	388	0.000259901
זד	20	1.3397e-05
זה	71	4.75592e-05
זו	979	0.000655781
זז	11	7.36833e-06
זח	393	0.00026325
זט	134	8.97596e-05
זי	64	4.28703e-05
זך	62	4.15306e-05
זכ	735	0.000492338
זל	218	0.000146027
זם	1661	0.00111262
זמ	1434	0.000960562
זן	6	4.01909e-06
זנ	166	0.000111195
זס	310	0.000207653
זע	1083	0.000725445
זף	285	0.000190907
זפ	1	6.69848e-07
זץ	19	1.27271e-05
זצ	9	6.02863e-06
זק	9	6.02863e-06
זר	4	2.67939e-06
זש	67	4.48798e-05
זû	707	0.000473583
זü	10	6.69848e-06
ז‏	90	6.02863e-05
זÿ	98	6.56451e-05
ח 	1632	0.00109319
חא	2062	0.00138123
חב	403	0.000269949
חג	1543	0.00103358
חד	113	7.56928e-05
חה	471	0.000315498
חו	1603	0.00107377
חז	14	9.37787e-06
חח	59	3.9521e-05
חט	1169	0.000783052
חי	195	0.00013062
חך	553	0.000370426
חכ	957	0.000641045
חל	959	0.000642384
חם	763	0.000511094
חמ	1470	0.000984677
חן	311	0.000208323
חנ	647	0.000433392
חס	410	0.000274638
חע	1010	0.000676546
חף	312	0.000208993
חפ	9	6.02863e-06
חץ	127	8.50707e-05
חצ	469	0.000314159
חק	314	0.000210332
חר	30	2.00954e-05
חש	154	0.000103157
חû	317	0.000212342
חü	177	0.000118563
ח‎	108	7.23436e-05
ח‏	68	4.55497e-05
חÿ	166	0.000111195
ט 	26775	0.0179352
טא	5666	0.00379536
טב	1616	0.00108247
טג	2792	0.00187022
טד	545	0.000365067
טה	1269	0.000850037
טו	8002	0.00536012
טז	168	0.000112534
טח	649	0.000434731
טט	6511	0.00436138
טי	309	0.000206983
טך	1596	0.00106908
טכ	1825	0.00122247
טל	2212	0.0014817
טם	5292	0.00354484
טמ	6492	0.00434865
טן	2679	0.00179452
טנ	820	0.000549275
טס	3842	0.00257356
טע	3707	0.00248313
טף	1909	0.00127874
טפ	122	8.17215e-05
טץ	440	0.000294733
טצ	432	0.000289374
טק	472	0.000316168
טר	277	0.000185548
טש	7	4.68894e-06
טû	973	0.000651762
טü	3617	0.00242284
ט‎	468	0.000313489
ט‏	12	8.03818e-06
טÿ	499	0.000334254
י 	1930	0.00129281
יא	397	0.00026593
יב	429	0.000287365
יג	734	0.000491668
יד	352	0.000235787
יה	480	0.000321527
יו	619	0.000414636
יז	248	0.000166122
יח	218	0.000146027
יט	1252	0.00083865
יך	828	0.000554634
יכ	165	0.000110525
יל	579	0.000387842
ים	835	0.000559323
ימ	785	0.000525831
ין	1361	0.000911663
ינ	510	0.000341622
יס	1132	0.000758268
יע	1285	0.000860755
יף	303	0.000202964
יפ	132	8.84199e-05
יץ	59	3.9521e-05
יצ	155	0.000103826
יק	216	0.000144687
יר	49	3.28226e-05
יû	320	0.000214351
י‎	136	9.10993e-05
י‏	13	8.70802e-06
יÿ	144	9.64581e-05
ך 	6581	0.00440827
ךא	971	0.000650422
ךב	221	0.000148036
ךג	1346	0.000901615
ךד	1715	0.00114879
ךה	199	0.0001333
ךו	2133	0.00142879
ךז	577	0.000386502
ךח	1023	0.000685255
ךט	1169	0.000783052
