 	251837	0.168693
à	88028	0.0589654
á	23104	0.0154762
â	55357	0.0370808
ã	21134	0.0141566
ä	37445	0.0250825
å	111698	0.0748207
æ	12519	0.00838583
ç	18595	0.0124558
è	91995	0.0616227
é	15666	0.0104938
ê	34745	0.0232739
ë	50544	0.0338568
ì	40027	0.026812
í	84597	0.0566671
î	142140	0.0952122
ï	31149	0.0208651
ð	55358	0.0370814
ñ	69033	0.0462416
ò	85262	0.0571126
ó	29874	0.020011
ô	2015	0.00134974
õ	11995	0.00803483
ö	6557	0.00439219
÷	19092	0.0127887
ø	9489	0.00635619
ù	4583	0.00306991
û	24202	0.0162117
ü	25486	0.0170717
ý	5527	0.00370225
þ	9151	0.00612978
ÿ	24672	0.0165265
