  	17898	0.012474
 א	26511	0.0184769
 ב	2967	0.00206786
 ג	5042	0.00351403
 ד	1319	0.00091928
 ה	2947	0.00205392
 ו	23846	0.0166195
 ז	1015	0.000707406
 ח	2094	0.00145942
 ט	6602	0.00460128
 י	82	5.71501e-05
 ך	1511	0.00105309
 כ	4844	0.00337604
 ל	2371	0.00165247
 ם	5278	0.00367851
 מ	36173	0.0252108
 ן	2150	0.00149845
 נ	14061	0.00979984
 ס	6814	0.00474903
 ע	14067	0.00980402
 ף	5054	0.0035224
 פ	98	6.83013e-05
 ץ	617	0.000430019
 צ	69	4.80897e-05
 ק	1155	0.00080498
 ר	91	6.34226e-05
 ש	640	0.000446049
 û	6925	0.00482639
 ü	47	3.27567e-05
 ‎	80	5.57562e-05
 ‏	1018	0.000709497
 ÿ	394	0.000274599
א 	8693	0.0060586
אא	6359	0.00443192
אב	957	0.000666983
אג	2121	0.00147824
אד	650	0.000453019
אה	2076	0.00144687
או	6120	0.00426535
אז	261	0.000181904
אח	418	0.000291326
אט	13608	0.00948412
אי	4	2.78781e-06
אך	1607	0.00112
אכ	1856	0.00129354
אל	1551	0.00108097
אם	4732	0.00329798
אמ	9901	0.00690052
אן	1664	0.00115973
אנ	1182	0.000823797
אס	4929	0.00343528
אע	6998	0.00487727
אף	1386	0.000965976
אפ	167	0.000116391
אץ	310	0.000216055
אצ	417	0.000290629
אק	489	0.00034081
אר	486	0.000338719
אש	413	0.000287841
אû	1858	0.00129494
אü	5614	0.00391269
א‎	507	0.000353355
א‏	26	1.81208e-05
אÿ	668	0.000465564
ב 	3964	0.00276272
בא	1974	0.00137578
בב	82	5.71501e-05
בג	557	0.000388202
בד	177	0.000123361
בה	1747	0.00121758
בו	1508	0.001051
בז	445	0.000310144
בח	598	0.000416777
בט	502	0.00034987
בי	202	0.000140784
בך	179	0.000124754
בכ	4226	0.00294532
בל	133	9.26946e-05
בם	375	0.000261357
במ	894	0.000623075
בן	80	5.57562e-05
בנ	1439	0.00100291
בס	849	0.000591712
בע	1809	0.00126079
בף	110	7.66647e-05
בפ	2	1.3939e-06
בץ	38	2.64842e-05
בצ	7	4.87866e-06
בק	387	0.00026972
בר	16	1.11512e-05
בש	32	2.23025e-05
בû	148	0.000103149
בü	32	2.23025e-05
ב‎	49	3.41506e-05
ב‏	280	0.000195147
בÿ	263	0.000183298
ג 	3958	0.00275854
גא	1218	0.000848888
גב	639	0.000445352
גג	1516	0.00105658
גד	710	0.000494836
גה	2421	0.00168732
גו	8765	0.00610878
גז	995	0.000693467
גח	1385	0.000965279
גט	2284	0.00159184
גי	1122	0.00078198
גך	1297	0.000903947
גכ	3049	0.00212501
גל	1120	0.000780586
גם	3843	0.00267839
גמ	2266	0.00157929
גן	1278	0.000890705
גנ	3159	0.00220167
גס	2843	0.00198143
גע	5626	0.00392105
גף	523	0.000364506
גפ	40	2.78781e-05
גץ	489	0.00034081
גצ	85	5.92409e-05
גק	552	0.000384718
גר	195	0.000135906
גש	197	0.0001373
גû	265	0.000184692
ג‎	625	0.000435595
ג‏	1054	0.000734587
גÿ	1838	0.001281
ד 	6396	0.00445771
דא	2917	0.00203301
דב	267	0.000186086
דג	634	0.000441868
דד	186	0.000129633
דה	568	0.000395869
דו	680	0.000473927
דז	7	4.87866e-06
דח	160	0.000111512
דט	611	0.000425838
די	210	0.00014636
דך	123	8.57251e-05
דכ	399	0.000278084
דל	527	0.000367294
דם	1098	0.000765253
דמ	666	0.00046417
דן	205	0.000142875
דנ	1519	0.00105867
דס	1710	0.00119179
דע	608	0.000423747
דף	565	0.000393778
דפ	10	6.96952e-06
דץ	301	0.000209783
דצ	11	7.66647e-06
דק	176	0.000122664
דר	16	1.11512e-05
דש	35	2.43933e-05
דû	41	2.8575e-05
ד‎	27	1.88177e-05
ד‏	140	9.75733e-05
דÿ	321	0.000223722
ה 	5887	0.00410296
הא	841	0.000586137
הב	678	0.000472533
הג	1397	0.000973642
הד	241	0.000167965
הה	125	8.7119e-05
הו	1423	0.000991763
הז	528	0.000367991
הח	93	6.48165e-05
הט	1874	0.00130609
הי	1350	0.000940885
הך	483	0.000336628
הכ	4047	0.00282056
הל	1549	0.00107958
הם	2480	0.00172844
המ	1764	0.00122942
הן	297	0.000206995
הנ	2373	0.00165387
הס	1185	0.000825888
הע	3947	0.00275087
הף	1192	0.000830767
הפ	19	1.32421e-05
הץ	316	0.000220237
הצ	67	4.66958e-05
הק	365	0.000254388
הר	269	0.00018748
הש	340	0.000236964
הû	316	0.000220237
הü	1	6.96952e-07
ה‎	50	3.48476e-05
ה‏	409	0.000285053
הÿ	1539	0.00107261
ו 	14476	0.0100891
וא	4562	0.0031795
וב	1635	0.00113952
וג	3735	0.00260312
וד	942	0.000656529
וה	2448	0.00170614
וו	9425	0.00656877
וז	656	0.000457201
וח	1008	0.000702528
וט	11417	0.0079571
וי	15	1.04543e-05
וך	3857	0.00268814
וכ	2306	0.00160717
ול	2413	0.00168175
ום	10177	0.00709288
ומ	8719	0.00607672
ון	3589	0.00250136
ונ	2636	0.00183717
וס	6584	0.00458873
וע	6220	0.00433504
וף	2667	0.00185877
ופ	138	9.61794e-05
וץ	384	0.00026763
וצ	570	0.000397263
וק	1018	0.000709497
ור	1008	0.000702528
וש	86	5.99379e-05
וû	1143	0.000796616
וü	5172	0.00360464
ו‎	524	0.000365203
ו‏	88	6.13318e-05
וÿ	2080	0.00144966
ז 	2501	0.00174308
זא	733	0.000510866
זב	16	1.11512e-05
זג	412	0.000287144
זד	28	1.95147e-05
זה	77	5.36653e-05
זו	984	0.000685801
זז	11	7.66647e-06
זח	402	0.000280175
זט	137	9.54824e-05
זי	64	4.46049e-05
זך	70	4.87866e-05
זכ	737	0.000513654
זל	227	0.000158208
זם	1684	0.00117367
זמ	1455	0.00101407
זן	45	3.13628e-05
זנ	175	0.000121967
זס	340	0.000236964
זע	1093	0.000761769
זף	293	0.000204207
