,b,freq
0,е,0.008324235807860262
1,о,0.008051310043668122
2,а,0.005731441048034935
3,и,0.005049126637554585
4,н,0.004776200873362445
5,л,0.004503275109170306
6,т,0.0036844978165938864
7,р,0.0035480349344978166
8,к,0.003411572052401747
9,с,0.0028657205240174674
10,в,0.0028657205240174674
11,б,0.001910480349344978
12,у,0.001910480349344978
13,я,0.0017740174672489083
14,ы,0.0016375545851528383
15,м,0.0016375545851528383
16,д,0.0013646288209606986
17,п,0.0013646288209606986
18,г,0.0012281659388646289
19,з,0.000955240174672489
20,ч,0.0008187772925764192
21,ь,0.0008187772925764192
22,й,0.0008187772925764192
23,ж,0.0005458515283842794
24,э,0.0004093886462882096
25,х,0.0004093886462882096
26,ш,0.0004093886462882096
27,ф,0.0002729257641921397
28,ц,0.0002729257641921397
29,ю,0.00013646288209606986
