Len,Key,Coincidence Index
2,мэ,0.038412550671745066
3,фуж,0.0404026796321017
4,хшлъ,0.03629995223690495
5,етгуз,0.034536391804342766
10,илиъглкяоф,0.033679105482958376
11,йпфъчнвэови,0.03322596842736948
12,щзрхдъыэрглф,0.033317820533232095
13,нблзчсхкмшпня,0.032368682105985085
14,сучвнюоъптяамю,0.03261974452867623
15,ъеьяюжхээфъэыью,0.03586518560248858
16,гакыыхрвбчлючицы,0.03285856000391903
17,рнътдцаоицкшлжьни,0.0326503618972971
18,ьищэксьтчбещйархря,0.0316032478904633
19,увэояихшцхерхкпхнфы,0.033164733690127735
20,яоьдэузэцяеьобмэхруы,0.031848186839430276
