,Coincidence Index
1,0.032821177802678465
2,0.03432921421542369
3,0.03734839112182639
4,0.03846786795894798
5,0.032753684507439526
6,0.04242249836150345
7,0.03284567162583475
8,0.038394305262087654
9,0.037406913486166676
10,0.034343106655826135
11,0.03282596004503103
12,0.054369556735866346
13,0.032807635112857336
14,0.03425313309436149
15,0.03741441107403287
16,0.03846816039387035
17,0.0326076877752591
18,0.042619239781400246
19,0.03299852287693897
20,0.03839407833306634
21,0.03734596917614833
22,0.03436346417856433
23,0.03248823743567128
24,0.05435416649918132
25,0.032517536103743
26,0.03434857665414954
27,0.03762500312229972
28,0.0383860390427654
29,0.033132183908045974
30,0.04250450051229374
