A::513 B::596
A::207 B::152
A::31 B::933
A::300 B::400
A::448 B::148
A::655 B::731
A::479 B::551
A::748 B::18
A::754 B::359
A::306 B::425
A::785 B::762
A::93 B::229
A::930 B::3
A::482 B::69
A::176 B::586
A::269 B::834
A::661 B::700
A::213 B::766
A::868 B::322
A::692 B::142
A::451 B::751
A::393 B::648
A::510 B::954
A::810 B::824
A::541 B::396
A::903 B::111
A::661 B::111
A::151 B::332
A::692 B::514
A::420 B::224
A::362 B::121
A::568 B::452
A::58 B::673
A::599 B::855
A::728 B::663
A::434 B::406
A::108 B::291
A::661 B::344
A::428 B::477
A::134 B::220
A::769 B::105
A::233 B::809
A::533 B::679
A::667 B::685
A::341 B::570
A::527 B::530
A::827 B::400
A::294 B::663
A::635 B::291
A::853 B::809
A::192 B::679
A::620 B::942
A::326 B::685
A::243 B::713
A::705 B::705
A::217 B::468
A::395 B::519
A::718 B::31
A::462 B::206
A::935 B::930
A::152 B::20
A::256 B::767
A::499 B::950
A::473 B::705
A::651 B::756
A::744 B::468
A::26 B::651
A::488 B::643
A::178 B::457
A::566 B::581
A::809 B::764
A::310 B::756
A::783 B::519
A::709 B::865
A::657 B::446
A::558 B::406
A::409 B::74
A::252 B::840
A::909 B::756
A::810 B::716
A::661 B::384
A::304 B::65
A::52 B::400
A::862 B::902
A::713 B::570
A::403 B::530
A::151 B::865
A::99 B::446
A::812 B::74
A::552 B::65
A::248 B::942
A::149 B::902
A::750 B::105
A::859 B::780
A::124 B::716
A::270 B::377
A::211 B::639
A::109 B::889
A::335 B::825
A::481 B::486
A::102 B::692
A::852 B::267
A::226 B::878
A::372 B::539
A::837 B::220
A::626 B::756
A::735 B::470
A::146 B::67
A::691 B::723
A::480 B::298
A::589 B::12
A::815 B::909
A::616 B::865
A::316 B::446
A::68 B::74
A::345 B::840
A::661 B::756
A::903 B::716
A::413 B::384
A::645 B::65
A::242 B::902
A::58 B::865
A::719 B::446
A::471 B::74
A::893 B::65
A::548 B::400
A::490 B::902
A::781 B::663
A::332 B::904
A::704 B::501
A::180 B::81
A::512 B::455
A::304 B::267
A::884 B::52
A::629 B::568
A::449 B::701
A::753 B::754
A::657 B::353
A::208 B::594
A::580 B::191
A::257 B::599
A::77 B::732
A::381 B::785
A::672 B::716
A::170 B::251
A::434 B::530
A::511 B::251
A::289 B::28
A::459 B::710
A::723 B::28
A::800 B::710
A::791 B::260
A::502 B::446
A::264 B::260
A::341 B::942
A::527 B::406
A::238 B::592
A::697 B::127
A::77 B::127
A::450 B::849
A::161 B::74
A::620 B::570
A::884 B::849
